"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Text Similarity Analysis for Test Suite Minimization","https://scispace.com/paper/Ms9W6coT41kJ","","","","H Haggren","","https://www.diva-portal.org/smash/get/diva2:1528332/FULLTEXT01.pdf","… us how much of our test suite is syntactically similar. Below in … the syntactic and semantic similarities between test cases are … semantic text analysis together with the clustering algorithm …",""
"IEEE Conference] A Comparative Analysis of Text Embedding Models for Bug Report Semantic Similarity","https://scispace.com/paper/_yK8s8NBc9UJ","","","","K Harrington","","https://www.researchgate.net/profile/Kevin-Harrington-12/publication/391101335_IEEE_Conference_A_Comparative_Analysis_of_Text_Embedding_Models_for_Bug_Report_Semantic_Similarity/links/680a4987d1054b0207de364d/IEEE-Conference-A-Comparative-Analysis-of-Text-Embedding-Models-for-Bug-Report-Semantic-Similarity.pdf","… software engineering tasks, including bug deduplication, … and prioritized for resolution; and clustering, which groups related … on their ability to identify semantically similar bug reports, we …",""
"Identifying similar test cases that are specified in natural language","https://scispace.com/paper/identifying-similar-test-cases-that-are-specified-in-natural-1s5y2p4uuy","2021","Posted Content","arXiv: Software Engineering","Markos Viggiato
Dale Paas
Chris Buzon
Cor-Paul Bezemer","","https://arxiv.org/pdf/2110.07733","… to cluster similar test steps that compose test cases and (2) … to maintain the syntactic and semantic relationships between … there is no source code available for our test cases. The input …","Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and four techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 83.47%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant and legacy test cases), which help to reduce the testing manual effort and time."
"A Reuse-oriented Clustering Method for Test Cases","https://scispace.com/paper/a-reuse-oriented-clustering-method-for-test-cases-2r331b1k","2022","Proceedings Article","International Conferences on Dependable Systems and Their Applications","Yaqing Shi
Song Huang
Jinyong Wan","10.1109/DSA56465.2022.00028","","… in the same or similar field, such as embedded software testing … rather than executable test scripts and test codes. How to … and semantic similarity calculation This paper adopts Bert …","Different types of data are generated in each stage of software testing. There are a lot of test case data in the historical test asset library, including some case data with high similarity. Clustering test cases can effectively reduce the resource consumption and time cost of reusing test cases and improve the efficiency of test case recommendation. This paper proposes a reuse-oriented clustering method for test cases. Firstly, test case data of historical test projects of command-and-control system are collected, test case corpus is constructed, and word segmentation experiments are carried out using this corpus. Experimental tools are determined by comparing the experimental effects of current mainstream natural language word segmentation tools with self-defining dictionaries. Then, the keywords of test cases are extracted by keyword extraction algorithm, and the test case package is obtained by Spectral Clustering algorithm based on the test case similarity matrix and keyword similarity matrix. Finally, the validity of the proposed method is verified by experimental comparison on the constructed test case corpus."
"Hierarchical cluster labeling of software requirements using contextual word embeddings","https://scispace.com/paper/hierarchical-cluster-labeling-of-software-requirements-using-3lzn3avqst","2021","Proceedings Article","Brazilian Symposium on Software Engineering","Adailton Ferreira de Araújo
Ricardo Marcondes Marcacini","10.1145/3474624.3477067","","… a more semantic and robust representation of the software … , and traceability between requirements and source code [9, 21]… into k clusters, in which each cluster allocates similar …","The popularization of social media has motivated research into machine learning methods for software requirements extraction from user comments and reviews. These methods analyze software review datasets to classify some textual excerpts as software requirements, which allows the management and monitoring of the evolution of software quality directly from the crowd users’ perspective. However, the existing methods have two major limitations. First, several duplicate requirements are extracted from reviews because users write the same requirement in different ways by using synonyms and non-technical language, often with misspellings and ambiguity. Second, requirements extraction methods do not deal with different granularity levels, thereby ignoring hierarchical relationships between software requirements. This paper presents a hierarchical cluster labeling approach for software requirements based on contextual word embeddings to address these challenges. We explore neural language models to obtain a more semantic and robust representation of the software requirements, in which the texts are represented by contextual word embeddings. Our approach organizes the software requirements into clusters and sub-clusters according to requirement similarities in the embedding space. Finally, we select representative software requirements to label each cluster and sub-cluster, thereby dealing with both duplicate and different granularity levels of the software requirements. An experimental evaluation using review datasets from 8 mobile apps shows that our approach obtains promising results and presents new ideas and research directions for data-driven requirements engineering."
"Semantic similarity-based clustering of findings from security testing tools","https://scispace.com/paper/semantic-similarity-based-clustering-of-findings-from-1xklp5re","2022","Proceedings Article","International Conference on Natural Language and Speech Processing","Phillip Schneider
Markus Voggenreiter
Abdullah Gulraiz
Florian Matthes","10.48550/arXiv.2211.11057","https://arxiv.org/pdf/2211.11057","… Processing for clustering semantically similar security findings to … the application of NLP techniques in the software engineering … The dataset and the code to run the test cases were …","Over the last years, software development in domains with high security demands transitioned from traditional methodologies to uniting modern approaches from software development and operations (DevOps). Key principles of DevOps gained more importance and are now applied to security aspects of software development, resulting in the automation of security-enhancing activities. In particular, it is common practice to use automated security testing tools that generate reports after inspecting a software artifact from multiple perspectives. However, this raises the challenge of generating duplicate security findings. To identify these duplicate findings manually, a security expert has to invest resources like time, effort, and knowledge. A partial automation of this process could reduce the analysis effort, encourage DevOps principles, and diminish the chance of human error. In this study, we investigated the potential of applying Natural Language Processing for clustering semantically similar security findings to support the identification of problem-specific duplicate findings. Towards this goal, we developed a web application for annotating and assessing security testing tool reports and published a human-annotated corpus of clustered security findings. In addition, we performed a comparison of different semantic similarity techniques for automatically grouping security findings. Finally, we assess the resulting clusters using both quantitative and qualitative evaluation methods."
"Code similarity and clone search in large-scale source code data","https://scispace.com/paper/code-similarity-and-clone-search-in-large-scale-source-code-2h6flnf0aa","2018","Dissertation","","Chaiyong Ragkhitwetsagul","","https://discovery.ucl.ac.uk/id/eprint/10057538/1/Chaiyong_Thesis_Minor_Corrections.pdf","… of code similarity analysers on a data set with pervasive code … Clone class (ie, clone group, clone cluster) is a set of code … syntactic clones because they mostly preserve the semantic of …","Software development is tremendously benefited from the Internet by having online code corpora that enable instant sharing of source code and online developer's guides and documentation. Nowadays, duplicated code (i.e., code clones) not only exists within or across software projects but also between online code repositories and websites. We call them ""online code clones.""' They can lead to license violations, bug propagation, and re-use of outdated code similar to classic code clones between software systems. Unfortunately, they are difficult to locate and fix since the search space in online code corpora is large and no longer confined to a local repository. This thesis presents a combined study of code similarity and online code clones. We empirically show that many code snippets on Stack Overflow are cloned from open source projects. Several of them become outdated or violate their original license and are possibly harmful to reuse. To develop a solution for finding online code clones, we study various code similarity techniques to gain insights into their strengths and weaknesses. A framework, called OCD, for evaluating code similarity and clone search tools is introduced and used to compare 34 state-of-the-art techniques on pervasively modified code and boiler-plate code. We also found that clone detection techniques can be enhanced by compilation and decompilation. Using the knowledge from the comparison of code similarity analysers, we create and evaluate Siamese, a scalable token-based clone search technique via multiple code representations. Our evaluation shows that Siamese scales to large-scale source code data of 365 million lines of code and offers high search precision and recall. Its clone search precision is comparable to seven state-of-the-art clone detection tools on the OCD framework. Finally, we demonstrate the usefulness of Siamese by applying the tool to find online code clones, automatically analyse clone licenses, and recommend tests for reuse."
"LTM: Scalable and Black-Box Similarity-Based Test Suite Minimization Based on Language Models","https://scispace.com/paper/ltm-scalable-and-black-box-similarity-based-test-suite-2dvyb2p6","2023","Journal Article","arXiv.org","Rongqing Pan
Taher Ahmed Ghaleb
Lionel C. Briand","10.48550/arXiv.2304.01397","https://ieeexplore.ieee.org/iel8/32/4359463/10697930.pdf","… They then identify similar test cases utilizing clustering … on the syntax and semantics of test case code without requiring … syntactic structure of test case code and calculated treebased …","Test suite minimization (TSM) is typically used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability of the test suite. Though many TSM approaches exist, most of them rely on code coverage (white-box) or model-based features, which are not always available for test engineers. Recent TSM approaches that rely only on test code (black-box) have been proposed, such as ATM and FAST-R. Though ATM achieves a better trade-off between effectiveness and efficiency than FAST-R, it suffers from scalability issues for large software systems as its execution time increases rapidly with test suite size. To address scalability, we propose LTM, a scalable and black-box similarity-based TSM approach based on language models. To support similarity measurement, we investigated three different pre-trained language models: CodeBERT, GraphCodeBERT, and UniXcoder, to extract embeddings of test code (Java test methods), on which we computed two similarity measures: Cosine Similarity and Euclidean Distance. Our goal is to find similarity measures that are not only computationally more efficient but can also better guide a Genetic Algorithm (GA), which is used for minimizing test suites, thus reducing minimization time. Experimental results showed that the best configuration of LTM (using UniXcoder with Cosine similarity) outperformed the best two configurations of ATM by achieving significantly higher fault detection rates (0.84 versus 0.81, on average) and, more importantly, running much faster (26.73 minutes versus 72.75 minutes, on average) than ATM, in terms of both preparation time (up to two orders of magnitude faster) and minimization time (one order of magnitude faster)."
"Identifying Similar Test Cases That Are Specified in Natural Language","https://scispace.com/paper/identifying-similar-test-cases-that-are-specified-in-natural-1s5y2p4uuy","2021","Posted Content","arXiv: Software Engineering","Markos Viggiato
Dale Paas
Chris Buzon
Cor-Paul Bezemer","","https://hal.science/hal-03911555v1/file/Identifying%20Similar%20Test%20Cases%20That%20Are%20Specified%20in%20Natural%20Language.pdf","… text embedding, text similarity, and clustering approaches to … for both semantic similarity searches and clustering. Lastly, … Deep unordered composition rivals syntactic methods for text …","Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and four techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 83.47%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant and legacy test cases), which help to reduce the testing manual effort and time."
"Code Clone Detection: An Empirical Study of Techniques for Software Engineering Practice","https://scispace.com/paper/inQFXkOIit4J","","","","H Kaushik
KD Gupta","","https://www.researchgate.net/profile/Harshita-Kaushik-5/publication/390108258_Code_Clone_Detection_An_Empirical_Study_of_Techniques_for_Software_Engineering_Practice/links/67e044a7e62c604a0d0d7126/Code-Clone-Detection-An-Empirical-Study-of-Techniques-for-Software-Engineering-Practice.pdf","… a few, text like syntactic, similar, or semantics code fragments … methods to identify potential clone codes. The processes may … clones via integrating cluster data using CNN deep learning …",""
