"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Optimizing Large Language Models’ Performance in Software Development Tasks through Structured Prompts","https://scispace.com/paper/optimizing-large-language-models-performance-in-software-4lwobopyt1bt","2025","Journal Article","WSEAS transactions on computer research","Zijian Zeng
Kurunathan Ratnavelu
S. H. Ong","10.37394/232018.2025.13.42","","Recent advancements in Large Language Models (LLMs) have demonstrated significant potential in code generation and various software development tasks. However, achieving optimal outputs from these models remains challenging, particularly when relying on unstructured prompts. Our empirical investigation examines the efficacy of systematically organized prompting frameworks within computational problem-solving contexts. Through methodical evaluation of 400 distinct programming challenges (300 curated from LeetCode and 100 practical implementation scenarios), we demonstrate measurable improvements in machine-generated solutions when employing structured prompting architectures. Quantitative analysis reveals substantial performance enhancements, with structured approaches yielding 27.1% greater solution accuracy and 21.0% higher code quality metrics compared to conventional direct prompting. Notably, our tripartite methodology integrating sequential task decomposition, contextual enrichment, and iterative refinement mechanisms achieved peak performance levels (92.4% accuracy, 93.1% code quality score). These findings inform practical guidelines for optimizing language model interactions in software engineering workflows. ","This study optimizes large language models' performance in software development tasks by using structured prompts, achieving 27.1% higher solution accuracy and 21.0% better code quality through a tripartite methodology and systematic evaluation of 400 programming challenges."
"An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation","https://scispace.com/paper/an-empirical-evaluation-of-using-large-language-models-for-4u07o39c3f","2024","Journal Article","IEEE Transactions on Software Engineering","Max Schäfer
Sarah Nadi
Aryaz Eghbali
Frank Tip","10.1109/tse.2023.3334955","","Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task, motivating the need for automation. Large Language Models (LLMs) have recently been applied to various aspects of software development, including their suggested use for automated generation of unit tests, but while requiring additional training or few-shot learning on examples of existing tests. This paper presents a large-scale empirical evaluation on the effectiveness of LLMs for automated unit test generation without requiring additional training or manual effort. Concretely, we consider an approach where the LLM is provided with prompts that include the signature and implementation of a function under test, along with usage examples extracted from documentation. Furthermore, if a generated test fails, our approach attempts to generate a new test that fixes the problem by re-prompting the model with the failing test and error message. We implement our approach in T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> , an adaptive LLM-based test generation tool for JavaScript that automatically generates unit tests for the methods in a given project’s API. We evaluate T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> using OpenAI’s <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">gpt3.5-turbo</i> LLM on 25 npm packages with a total of 1,684 API functions. The generated tests achieve a median statement coverage of 70.2% and branch coverage of 52.8%. In contrast, the state-of-the feedback-directed JavaScript test generation technique, Nessie, achieves only 51.3% statement coverage and 25.6% branch coverage. Furthermore, experiments with excluding parts of the information included in the prompts show that all components contribute towards the generation of effective test suites. We also find that 92.8% of T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> ’s generated tests have ≤ 50% similarity with existing tests (as measured by normalized edit distance), with none of them being exact copies. Finally, we run T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> with two additional LLMs, OpenAI’s older <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">code-cushman-002</i> LLM and <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">StarCoder</i> , an LLM for which the training process is publicly documented. Overall, we observed similar results with the former (68.2% median statement coverage), and somewhat worse results with the latter (54.0% median statement coverage), suggesting that the effectiveness of the approach is influenced by the size and training set of the LLM, but does not fundamentally depend on the specific model. ","T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> is an LLM-based tool that automatically generates unit tests for JavaScript functions without requiring additional training or manual effort. It achieves high statement and branch coverage and generates tests that are dissimilar from existing tests."
"CITYWALK: Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge","https://scispace.com/paper/citywalk-enhancing-llm-based-c-unit-test-generation-via-bas9iz4o7i28","2025","Journal Article","arXiv.org","Yuwei Zhang
Qingyuan Lu
Kai Liu
Wensheng Dou
Jiaxin Zhu
Li Qian
Chunxi Zhang
Zheng Lin
Jun Wei","10.48550/arxiv.2501.16155","https://scispace.compdf/citywalk-enhancing-llm-based-c-unit-test-generation-via-bas9iz4o7i28.pdf","Unit testing plays a pivotal role in the software development lifecycle, as it ensures code quality. However, writing high-quality unit tests remains a time-consuming task for developers in practice. More recently, the application of large language models (LLMs) in automated unit test generation has demonstrated promising results. Existing approaches primarily focus on interpreted programming languages (e.g., Java), while mature solutions tailored to compiled programming languages like C++ are yet to be explored. The intricate language features of C++, such as pointers, templates, and virtual functions, pose particular challenges for LLMs in generating both executable and high-coverage unit tests. To tackle the aforementioned problems, this paper introduces CITYWALK, a novel LLM-based framework for C++ unit test generation. CITYWALK enhances LLMs by providing a comprehensive understanding of the dependency relationships within the project under test via program analysis. Furthermore, CITYWALK incorporates language-specific knowledge about C++ derived from project documentation and empirical observations, significantly improving the correctness of the LLM-generated unit tests. We implement CITYWALK by employing the widely popular LLM GPT-4o. The experimental results show that CITYWALK outperforms current state-of-the-art approaches on a collection of ten popular C++ projects. Our findings demonstrate the effectiveness of CITYWALK in generating high-quality C++ unit tests.","CITYWALK, a novel LLM-based framework, enhances C++ unit test generation by incorporating project-dependency awareness and language-specific knowledge, outperforming state-of-the-art approaches on ten popular C++ projects with high-quality unit tests."
"ChatUniTest: a ChatGPT-based automated unit test generation tool","https://scispace.com/paper/chatunitest-a-chatgpt-based-automated-unit-test-generation-1axirgnf","2023","Journal Article","arXiv.org","Zhuo-Qi Xie
Ying-Liang Chen
Chen Zhi
Shuguang Deng
Jianwei Yin","10.48550/arXiv.2305.04764","","Unit testing is a crucial, yet often tedious and time-consuming task. To relieve developers from this burden, automated unit test generation techniques are developed. Existing automated unit test generation tools, such as program-analysis-based tools like EvoSuite and Randoop, lack program comprehension, resulting in unit tests with poor readability and limited assertions. Language-model-based tools, such as AthenaTest and A3Test, have limitations in the generation of correct unit tests. In this paper, we introduce ChatUniTest, a ChatGPT-based automated unit test generation tool developed under the Generation-Validation-Repair framework. ChatUniTest generates tests by parsing the project, extracting essential information, and creating an adaptive focal context that includes the focal method and its dependencies within the pre-defined maximum prompt token limit. The context is incorporated into a prompt and subsequently submitted to ChatGPT. Once ChatGPT's response is received, ChatUniTest proceeds to extract the raw test from the response. It then validates the test and employs rule-based repair to fix syntactic and simple compile errors, followed by ChatGPT-based repair to address challenging errors. Our rigorous evaluation demonstrates that ChatUniTest outperforms EvoSuite in branch and line coverage, surpasses AthenaTest and A3Test in focal method coverage, and effectively generates assertions while utilizing mock objects and reflection to achieve test objectives.","ChatUniTest as discussed by the authors is a ChatGPT-based automated unit test generation tool developed under the Generation-Validation-Repair framework, which generates tests by parsing the project, extracting essential information, and creating an adaptive focal context."
"ChatUniTest: a ChatGPT-based automated unit test generation tool","https://scispace.com/paper/chatunitest-a-chatgpt-based-automated-unit-test-generation-3924b2lw","2023","Posted Content","","","10.48550/arxiv.2305.04764","https://scispace.com/pdf/chatunitest-a-chatgpt-based-automated-unit-test-generation-3924b2lw.pdf","Unit testing is a crucial, yet often tedious and time-consuming task. To relieve developers from this burden, automated unit test generation techniques are developed. Existing automated unit test generation tools, such as program-analysis-based tools like EvoSuite and Randoop, lack program comprehension, resulting in unit tests with poor readability and limited assertions. Language-model-based tools, such as AthenaTest and A3Test, have limitations in the generation of correct unit tests. In this paper, we introduce ChatUniTest, a ChatGPT-based automated unit test generation tool developed under the Generation-Validation-Repair framework. ChatUniTest generates tests by parsing the project, extracting essential information, and creating an adaptive focal context that includes the focal method and its dependencies within the pre-defined maximum prompt token limit. The context is incorporated into a prompt and subsequently submitted to ChatGPT. Once ChatGPT's response is received, ChatUniTest proceeds to extract the raw test from the response. It then validates the test and employs rule-based repair to fix syntactic and simple compile errors, followed by ChatGPT-based repair to address challenging errors. Our rigorous evaluation demonstrates that ChatUniTest outperforms EvoSuite in branch and line coverage, surpasses AthenaTest and A3Test in focal method coverage, and effectively generates assertions while utilizing mock objects and reflection to achieve test objectives. ","ChatUniTest as mentioned in this paper is a ChatGPT-based automated unit test generation tool developed under the Generation-Validation-Repair framework, which generates tests by parsing the project, extracting essential information, and creating an adaptive focal context."
"Retrieval-Augmented Test Generation: How Far Are We?","https://scispace.com/paper/retrieval-augmented-test-generation-how-far-are-we-38egrsjc2uy2","2024","Journal Article","arXiv.org","Jiho Shin
Reem Aleithan
Hadi Hemmati
Song Wang","10.48550/arxiv.2409.12682","https://export.arxiv.org/pdf/2409.12682v1.pdf","Retrieval Augmented Generation (RAG) has shown notable advancements in software engineering tasks. Despite its potential, RAG's application in unit test generation remains under-explored. To bridge this gap, we take the initiative to investigate the efficacy of RAG-based LLMs in test generation. As RAGs can leverage various knowledge sources to enhance their performance, we also explore the impact of different sources of RAGs' knowledge bases on unit test generation to provide insights into their practical benefits and limitations. Specifically, we examine RAG built upon three types of domain knowledge: 1) API documentation, 2) GitHub issues, and 3) StackOverflow Q&As. Each source offers essential knowledge for creating tests from different perspectives, i.e., API documentations provide official API usage guidelines, GitHub issues offer resolutions of issues related to the APIs from the library developers, and StackOverflow Q&As present community-driven solutions and best practices. For our experiment, we focus on five widely used and typical Python-based machine learning (ML) projects, i.e., TensorFlow, PyTorch, Scikit-learn, Google JAX, and XGBoost to build, train, and deploy complex neural networks efficiently. We conducted experiments using the top 10% most widely used APIs across these projects, involving a total of 188 APIs. We investigate the effectiveness of four state-of-the-art LLMs (open and closed-sourced), i.e., GPT-3.5-Turbo, GPT-4o, Mistral MoE 8x22B, and Llamma 3.1 405B. Additionally, we compare three prompting strategies in generating unit test cases for the experimental APIs, i.e., zero-shot, a Basic RAG, and an API-level RAG on the three external sources. Finally, we compare the cost of different sources of knowledge used for the RAG.","This study investigates the efficacy of Retrieval-Augmented Generation (RAG) in unit test generation for five Python-based machine learning projects, using four state-of-the-art LLMs and three external knowledge sources, and compares prompting strategies and knowledge source costs."
"LMUnit: Fine-grained Evaluation with Natural Language Unit Tests","https://scispace.com/paper/lmunit-fine-grained-evaluation-with-natural-language-unit-3wfrr8ytlqgj","2024","Journal Article","","Jon Saad-Falcon
Rajan Vivek
William Berrios
Nandita Shankar Naik
Mark A. Franklin
Bertie Vidgen
Amanpreet Singh
Douwe Kiela
Shikib Mehri","10.48550/arxiv.2412.13091","http://arxiv.org/pdf/2412.13091","As language models become integral to critical workflows, assessing their behavior remains a fundamental challenge -- human evaluation is costly and noisy, while automated metrics provide only coarse, difficult-to-interpret signals. We introduce natural language unit tests, a paradigm that decomposes response quality into explicit, testable criteria, along with a unified scoring model, LMUnit, which combines multi-objective training across preferences, direct ratings, and natural language rationales. Through controlled human studies, we show this paradigm significantly improves inter-annotator agreement and enables more effective LLM development workflows. LMUnit achieves state-of-the-art performance on evaluation benchmarks (FLASK, BigGenBench) and competitive results on RewardBench. These results validate both our proposed paradigm and scoring model, suggesting a promising path forward for language model evaluation and development. ","This study introduces LMUnit, a unified scoring model for language model evaluation, combining multi-objective training and natural language rationales, achieving state-of-the-art performance on evaluation benchmarks and improving inter-annotator agreement in human studies."
"Autotestgpt: A System for the Automated Generation of Software Test Cases Based on Chatgpt","https://scispace.com/paper/autotestgpt-a-system-for-the-automated-generation-of-2wfeef2oiy","2023","Preprint","","Hui Liu
Liang Liu
Caijie Yue
Yang Wang
Bo Deng","10.2139/ssrn.4584792","","The design and generation of software test cases constitute pivotal steps in enhancing the automation and intelligence of software testing. Taking into account the robust natural language comprehension and code generation capabilities of ChatGPT, this paper proposes an AutoTestGPT system for the automated generation of software test cases, building upon the substantial application of ChatGPT in the software testing domain in recent years. In this system, ChatGPT serves as the intelligent engine to facilitate dialog training. By decomposing testing requirements, the system generates comprehensive test plans and systematically generates corresponding test cases based on these plans. Subsequently, the generated test cases undergo result verification and testing report generation. Experimental results in the context of interface testing frameworks and test case generation reveal that the interface testing suite generated through AutoTestGPT exhibits commendable usability. In comparison to manually constructing testing suites, its efficiency in suite generation surpasses 70%. The AutoTestGPT system demonstrates noteworthy efficiency in addressing intricate test case generation tasks. It elevates the degree of automation and intelligence in test case generation, thereby establishing a robust foundation for the future development of intelligently-oriented software testing systems. ","AutoTestGPT is a system for automated software test case generation based on ChatGPT. It utilizes ChatGPT for dialog training and generates comprehensive test plans and test cases. AutoTestGPT exhibits high efficiency in test case generation, surpassing 70% compared to manual construction."
"Evaluating and Improving ChatGPT for Unit Test Generation","https://scispace.com/paper/evaluating-and-improving-chatgpt-for-unit-test-generation-1k60aqfjsf","2024","Journal Article","","Zhiqiang Yuan
Mingwei Liu
Shoucheng Ding
Kaixin Wang
Y. Chen
Xin Peng
Yiling Lou","10.1145/3660783","","Unit testing plays an essential role in detecting bugs in functionally-discrete program units (e.g., methods). Manually writing high-quality unit tests is time-consuming and laborious. Although the traditional techniques are able to generate tests with reasonable coverage, they are shown to exhibit low readability and still cannot be directly adopted by developers in practice. Recent work has shown the large potential of large language models (LLMs) in unit test generation. By being pre-trained on a massive developer-written code corpus, the models are capable of generating more human-like and meaningful test code. In this work, we perform the first empirical study to evaluate the capability of ChatGPT (i.e., one of the most representative LLMs with outstanding performance in code generation and comprehension) in unit test generation. In particular, we conduct both a quantitative analysis and a user study to systematically investigate the quality of its generated tests in terms of correctness, sufficiency, readability, and usability. We find that the tests generated by ChatGPT still suffer from correctness issues, including diverse compilation errors and execution failures (mostly caused by incorrect assertions); but the passing tests generated by ChatGPT almost resemble manually-written tests by achieving comparable coverage, readability, and even sometimes developers' preference. Our findings indicate that generating unit tests with ChatGPT could be very promising if the correctness of its generated tests could be further improved. Inspired by our findings above, we further propose ChatTester, a novel ChatGPT-based unit test generation approach, which leverages ChatGPT itself to improve the quality of its generated tests. ChatTester incorporates an initial test generator and an iterative test refiner. Our evaluation demonstrates the effectiveness of ChatTester by generating 34.3% more compilable tests and 18.7% more tests with correct assertions than the default ChatGPT. In addition to ChatGPT, we further investigate the generalization capabilities of ChatTester by applying it to two recent open-source LLMs (i.e., CodeLLama-Instruct and CodeFuse) and our results show that ChatTester can also improve the quality of tests generated by these LLMs. ","The first empirical study to evaluate the capability of ChatGPT, one of the most representative LLMs with outstanding performance in code generation and comprehension in unit test generation, is performed, finding that the tests generated by ChatGPT still suffer from correctness issues, but the passing tests generated by ChatGPT almost resemble manually-written tests by achieving comparable coverage, readability, and even sometimes developers' preference."
"Unit Test Generation Using Large Language Models: A Systematic Literature Review","https://scispace.com/paper/unit-test-generation-using-large-language-models-a-3z8x4culm7","2024","Journal Article","Vilnius University open series","Dovydas Marius Zapkus
Asta Slotkiene","10.15388/lmitt.2024.20","","Unit testing is a fundamental aspect of software development, ensuring the correctness and robustness of code implementations. Traditionally, unit tests are manually crafted by developers based on their understanding of the code and its requirements. However, this process can be time-consuming, errorprone, and may overlook certain edge cases. In recent years, there has been growing interest in leveraging large language models (LLMs) for automating the generation of unit tests. LLMs, such as GPT (Generative Pre-trained Transformer), CodeT5, StarCoder, LLaMA, have demonstrated remarkable capabilities in natural language understanding and code generation tasks. By using LLMs, researchers aim to develop techniques that automatically generate unit tests from code snippets or specifications, thus optimizing the software testing process. This paper presents a literature review of articles that use LLMs for unit test generation tasks. It also discusses the history of the most commonly used large language models and their parameters, including the first time they have been used for code generation tasks. The result of this study presents the large language models for code and unit test generation tasks and their increasing popularity in code generation domain, indicating a great promise for the future of unit test generation using LLMs.","Unit test generation using LLMs is a promising field that aims to automate the process of writing unit tests. LLMs have shown potential in generating unit tests from code snippets or specifications."
