"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Artificial intelligence applied to software testing: A tertiary study","https://scispace.com/paper/artificial-intelligence-applied-to-software-testing-a-18be0rdt6s","2023","Journal Article","ACM Computing Surveys","Domenico Amalfitano
Stefano Faralli
Jean Carlo Rossa Hauck
Santiago Matalonga
Damiano Distante","10.1145/3616372","https://dl.acm.org/doi/pdf/10.1145/3616372","… Software testing (ST) and artificial intelligence (AI) are two … [16], bringing new challenges to software testing practices [64]. … the systematic review results of software testing ontologies […","Context: Artificial intelligence (AI) methods and models have extensively been applied to support different phases of the software development lifecycle, including software testing (ST). Several secondary studies investigated the interplay between AI and ST but restricted the scope of the research to specific domains or sub-domains within either area. Objective: This research aims to explore the overall contribution of AI to ST, while identifying the most popular applications and potential paths for future research directions. Method: We executed a tertiary study following well-established guidelines for conducting systematic literature mappings in software engineering and for answering nine research questions. Results: We identified and analyzed 20 relevant secondary studies. The analysis was performed by drawing from well-recognized AI and ST taxonomies and mapping the selected studies according to them. The resulting mapping and discussions provide extensive and detailed information on the interplay between AI and ST. Conclusion: The application of AI to support ST is a well-consolidated and growing interest research topic. The mapping resulting from our study can be used by researchers to identify opportunities for future research, and by practitioners looking for evidence-based information on which AI-supported technology to possibly adopt in their testing processes."
"Artificial intelligence in software testing: A systematic review","https://scispace.com/paper/artificial-intelligence-in-software-testing-a-systematic-21mj85gq1s","2023","Proceedings Article","","Mahmudul Islam
Farhan Khan
Sabrina Alam
Mahady Hasan","10.1109/tencon58879.2023.10322349","https://www.researchgate.net/profile/Mahmudul-Islam/publication/374263724_Artificial_Intelligence_in_Software_Testing_A_Systematic_Review/links/657a7603cbd2c535ea22bbe1/Artificial-Intelligence-in-Software-Testing-A-Systematic-Review.pdf","… There are several challenges in software testing that can be solved using AI. Some of these issues include manually generating test cases, test optimization, test results analysis, etc. …","Software testing is a crucial component of software development. With the increasing complexity of software systems, traditional manual testing methods are becoming less feasible. Artificial Intelligence (AI) has emerged as a promising approach to software testing in recent years. This review paper aims to provide an in-depth understanding of the current state of software testing using AI. The review will examine the various approaches, techniques, and tools used in this area and assess their effectiveness. The selected articles for this study have been extracted from different research databases using the advanced search string strategy. Initially, 40 articles have been extracted from different research libraries. After gradual filtering finally, 20 articles have been selected for the study. After studying all the selected papers, we find that various testing tasks can be automated successfully using AI (Machine Learning and Deep Learning) such as Test Case Generation, Defect Prediction, Test Case Prioritization Metamorphic Testing, Android Testing, Test Case Validation, and White Box Testing. This study also finds that the integration of AI in software testing is making software testing activities easier along with better performance. This literature review paper provides a thorough analysis of the impact AI can have on the software testing process."
"Machine learning algorithms for automated software testing: A comprehensive review of current trends and challenges","https://scispace.com/paper/0zL1EAgYIMUJ","","","","S Pargaonkar
R Ranjan","","https://works.hcommons.org/records/t8e0t-89p08/files/new-the-algorithmic-odyssey-a-comprehensive-guide-to-ai-research-197-212.pdf","… • Identify emerging research directions and key challenges that need to be addressed to fully leverage the potential of machine learning in automated software testing. …",""
"The integration of machine learning into automated test generation: A systematic mapping study","https://scispace.com/paper/the-integration-of-machine-learning-into-automated-test-1a04w6sf","2022","Journal Article","Software Testing, Verification & Reliability","Afonso Fontes
Gregory Gay","10.1002/stvr.1845","https://onlinelibrary.wiley.com/doi/pdf/10.1002/stvr.1845","… test generation process is evaluated. We are also interested in identifying the emerging field's limitations and open research challenges. … Ioannides and Eder conducted a survey on the …","Machine learning (ML) may enable effective automated test generation. We characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges in this intersection by performing. We perform a systematic mapping study on a sample of 124 publications. ML generates input for system, GUI, unit, performance, and combinatorial testing or improves the performance of existing generation methods. ML is also used to generate test verdicts, property‐based, and expected output oracles. Supervised learning—often based on neural networks—and reinforcement learning—often based on Q‐learning—are common, and some publications also employ unsupervised or semi‐supervised learning. (Semi‐/Un‐)Supervised approaches are evaluated using both traditional testing metrics and ML‐related metrics (e.g., accuracy), while reinforcement learning is often evaluated using testing metrics tied to the reward function. The work‐to‐date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed—and how they are applied—benchmarks, and replicability. Our findings can serve as a roadmap and inspiration for researchers in this field."
"Machine Learning Implementation in Automated Software Testing: A Review","https://scispace.com/paper/machine-learning-implementation-in-automated-software-kg7fkdosnqgg","2025","Journal Article","","Norhayati Abu Bakar","10.26650/d3ai.001","https://dergipark.org.tr/en/download/article-file/4636250","… Despite the promising results, the implementation of ML in automated software testing is not without challenges. The quality and quantity of data, the interpretability of ML models, and …",""
"Test suite optimization using machine learning techniques: A comprehensive study","https://scispace.com/paper/test-suite-optimization-using-machine-learning-techniques-a-2l3lkuhpymgy","2024","Journal Article","IEEE Access","Abid Mehmood
Qazi Mudassar Ilyas
Muneer Ahmad
Zhongliang Shi","10.1109/access.2024.3490453","https://ieeexplore.ieee.org/iel8/6287639/6514899/10741285.pdf","… optimization and highlights future directions for improving the … A systematic review identified 110 papers on test case … application of machine learning approaches in software testing [12]…","Software testing is an essential yet costly phase of the software development lifecycle. While machine learning-based test suite optimization techniques have shown promise in reducing testing costs and improving fault detection, a comprehensive evaluation of their effectiveness across different environments is still lacking. This paper reviews 43 studies published between 2018 and 2023, covering various test case selection, prioritization, and reduction techniques using machine learning. The findings reveal that conventional machine learning techniques, particularly supervised learning methods, have been widely adopted for test case prioritization and selection. Recent advancements, such as deep learning and hybrid models, show potential in improving fault detection rates and scalability, though challenges remain in adapting these techniques to large-scale and dynamic environments. Additionally, Generative AI and large language models (LLMs) are emerging as promising tools for automating aspects of test case generation and prioritization, offering new avenues for future research in enhancing test suite optimization. The study identifies recent trends, challenges, and opportunities for further research, with a focus on both conventional and emerging methods, including deep learning, hybrid approaches, and Generative AI models. By systematically analyzing these techniques, this work contributes to the understanding of how machine learning and Generative AI can enhance test suite optimization and highlights future directions for improving the scalability and real-world applicability of these methods."
"AI-powered software testing tools: A systematic review and empirical assessment of their features and limitations","https://scispace.com/paper/pAjoxoc0NbwJ","","","","V Garousi
N Joy
Z Jafarov
AB Keleş","","https://arxiv.org/pdf/2409.00411","… Artificial Intelligence (AI) in software testing has introduced a new generation of AI-powered testing tools [1-3] that leverage machine learning … as AI-powered test generation, self-healing …",""
"Testing machine learning based systems: a systematic mapping","https://scispace.com/paper/testing-machine-learning-based-systems-a-systematic-mapping-4440jrw6yp","2020","Journal Article","Empirical Software Engineering","Vincenzo Riccio
Gunel Jahangirova
Andrea Stocco
Nargiz Humbatova
Michael Weiss
Paolo Tonella","10.1007/S10664-020-09881-0","https://link.springer.com/content/pdf/10.1007/s10664-020-09881-0.pdf","… Despite the advances in software testing, MLSs bring novel and unprecedented challenges, since their behaviour is defined jointly by the code that implements them and the data used …","A Machine Learning based System (MLS) is a software system including one or more components that learn how to perform a task from a given data set. The increasing adoption of MLSs in safety critical domains such as autonomous driving, healthcare, and finance has fostered much attention towards the quality assurance of such systems. Despite the advances in software testing, MLSs bring novel and unprecedented challenges, since their behaviour is defined jointly by the code that implements them and the data used for training them. To identify the existing solutions for functional testing of MLSs, and classify them from three different perspectives: (1) the context of the problem they address, (2) their features, and (3) their empirical evaluation. To report demographic information about the ongoing research. To identify open challenges for future research. We conducted a systematic mapping study about testing techniques for MLSs driven by 33 research questions. We followed existing guidelines when defining our research protocol so as to increase the repeatability and reliability of our results. We identified 70 relevant primary studies, mostly published in the last years. We identified 11 problems addressed in the literature. We investigated multiple aspects of the testing approaches, such as the used/proposed adequacy criteria, the algorithms for test input generation, and the test oracles. The most active research areas in MLS testing address automated scenario/input generation and test oracle creation. MLS testing is a rapidly growing and developing research area, with many open challenges, such as the generation of realistic inputs and the definition of reliable evaluation metrics and benchmarks."
"The role of Reinforcement Learning in software testing","https://scispace.com/paper/the-role-of-reinforcement-learning-in-software-testing-50vnc0h6vr","2023","Journal Article","Information & Software Technology","Amr Abo-eleneen
A. Palliyali
Cagatay Catal","10.1016/j.infsof.2023.107325","","… Different machine learning technique types such as supervised … This study highlights different software testing types to which RL has … Several challenges were presented in this study. …","Software testing is applied to validate the behavior of the software system and identify flaws and bugs. Different machine learning technique types such as supervised and unsupervised learning were utilized in software testing. However, for some complex software testing scenarios, neither supervised nor unsupervised machine learning techniques were adequate. As such, researchers applied Reinforcement Learning (RL) techniques in some cases. However, a systematic overview of the state-of-the-art on the role of reinforcement learning in software testing is lacking. The objective of this study is to determine how and to what extent RL was used in software testing. In this study, a Systematic Literature Review (SLR) was conducted on the use of RL in software testing, and 40 primary studies were investigated. This study highlights different software testing types to which RL has been applied, commonly used RL algorithms and architecture for learning, challenges faced, advantages and disadvantages of using RL, and the performance comparison of RL-based models against other techniques. RL has been widely used in software testing but has almost narrowed to two applications. There is a shortage of papers using advanced RL techniques in addition to multi-agent RL. Several challenges were presented in this study. "
"An examination of the integration of artificial intelligence techniques in software testing: A comparative analysis","https://scispace.com/paper/yTpxydt0ZlYJ","","","","S Pargaonkar","","https://works.hcommons.org/records/sha0s-13q34/files/new-algorithms-of-intelligence-exploring-the-world-of-machine-learning-182-196.pdf","… , we aim to inform software developers, testers, and researchers about the potential benefits and challenges associated with AI integration. Ultimately, our goal is to provide actionable …",""
