"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Enabling Ensemble Learning for Heterogeneous Large Language Models with Deep Parallel Collaboration","https://scispace.com/paper/enabling-ensemble-learning-for-heterogeneous-large-language-1gzhyo5jm2","2024","Journal Article","arXiv.org","Yi-Chong Huang
Xiaocheng Feng
Baohang Li
Yang Xiang
Hui Wang
Bing Qin
Ting Liu","10.48550/arxiv.2404.12715","https://scispace.compdf/enabling-ensemble-learning-for-heterogeneous-large-language-1gzhyo5jm2.pdf","Large language models (LLMs) have shown complementary strengths in various tasks and instances, motivating the research of ensembling LLMs to push the frontier leveraging the wisdom of the crowd. Existing work achieves this objective via training the extra reward model or fusion model to select or fuse all candidate answers. However, these methods pose a great challenge to the generalizability of the trained models. Besides, existing methods use the textual responses as communication media, ignoring the rich information in the inner representations of neural networks. Therefore, we propose a training-free ensemble framework DEEPEN, averaging the probability distributions outputted by different LLMs. A key challenge in this paradigm is the vocabulary discrepancy between heterogeneous LLMs, which hinders the operation of probability distribution averaging. To address this challenge, DEEPEN maps the probability distribution of each model from the probability space to a universe relative space based on the relative representation theory, and performs aggregation. Then, the result of aggregation is mapped back to the probability space of one LLM via a search-based inverse transformation to determine the generated token. We conduct experiments on the ensemble of various LLMs of 6B to 70B. Experimental results show that DEEPEN achieves consistent improvements across six popular benchmarks involving subject examination, reasoning and knowledge-QA, proving the effectiveness of our approach.","Enabling ensemble learning for heterogeneous large language models with deep parallel collaboration achieves consistent improvements across various benchmarks."
"Synergistic minds: A collaborative multi-agent framework for integrated AI tool development using diverse large language models","https://scispace.com/paper/synergistic-minds-a-collaborative-multi-agent-framework-for-xiglxbpb9nn1","2025","Journal Article","World Journal Of Advanced Research and Reviews","Arpan Shaileshbhai Korat","10.30574/wjarr.2025.27.2.1806","","This paper introduces an innovative multi-agent framework for integrated AI tool development that unifies diverse large language models (LLMs) into a cohesive system capable of addressing multifaceted tasks. Unlike conventional monolithic AI systems, our approach dynamically decomposes complex queries and routes them to specialized agents, including models fine-tuned for summarization, translation, code generation, and domain-specific analysis, that collaborate through a centralized orchestration layer. This orchestration not only coordinates inter- agent communication via a shared memory module but also integrates user feedback via a reinforcement learning loop for continuous system improvement. A comprehensive case study in research assistance demonstrates that our system outperforms single-model baselines in both quantitative metrics (e.g., ROUGE, BLEU, unit test accuracy) and qualitative user satisfaction. In addition, we discuss technical challenges, scalability issues, and future directions. ","This paper introduces a multi-agent framework that unifies diverse large language models for integrated AI tool development, dynamically decomposing complex queries and routing them to specialized agents for collaborative task completion and continuous improvement via user feedback and reinforcement learning."
"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead","https://scispace.com/paper/llm-based-multi-agent-systems-for-software-engineering-3nfzqoopnexw","2025","Journal Article","ACM Transactions on Software Engineering and Methodology","Junda He
Christoph Treude
David Lo","10.1145/3712003","https://scispace.compdf/llm-based-multi-agent-systems-for-software-engineering-3nfzqoopnexw.pdf","Integrating Large Language Models (LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities that are competitive with human planning and reasoning. This paper explores the transformative potential of integrating Large Language Models into Multi-Agent (LMA) systems for addressing complex challenges in software engineering (SE). By leveraging the collaborative and specialized abilities of multiple agents, LMA systems enable autonomous problem-solving, improve robustness, and provide scalable solutions for managing the complexity of real-world software projects. In this paper, we conduct a systematic review of recent primary studies to map the current landscape of LMA applications across various stages of the software development lifecycle (SDLC). To illustrate current capabilities and limitations, we perform two case studies to demonstrate the effectiveness of state-of-the-art LMA frameworks. Additionally, we identify critical research gaps and propose a comprehensive research agenda focused on enhancing individual agent capabilities and optimizing agent synergy. Our work outlines a forward-looking vision for developing fully autonomous, scalable, and trustworthy LMA systems, laying the foundation for the evolution of Software Engineering 2.0. ","This paper reviews the integration of Large Language Models into Multi-Agent systems for software engineering, highlighting their transformative potential, current applications, and limitations, while proposing a research agenda to enhance agent capabilities and optimize synergy for Software Engineering 2.0."
"XUAT-Copilot: Multi-Agent Collaborative System for Automated User Acceptance Testing with Large Language Model","https://scispace.com/paper/xuat-copilot-multi-agent-collaborative-system-for-automated-4axckyawm5","2024","Journal Article","arXiv.org","Zhitao Wang
Wei Wang
Zirao Li
Long Wang
Can Yi
Xinjie Xu
Luyang Cao
Hanjing Su
Shouzhi Chen
Jun Zhou","10.48550/arxiv.2401.02705","","In past years, we have been dedicated to automating user acceptance testing (UAT) process of WeChat Pay, one of the most influential mobile payment applications in China. A system titled XUAT has been developed for this purpose. However, there is still a human-labor-intensive stage, i.e, test scripts generation, in the current system. Therefore, in this paper, we concentrate on methods of boosting the automation level of the current system, particularly the stage of test scripts generation. With recent notable successes, large language models (LLMs) demonstrate significant potential in attaining human-like intelligence and there has been a growing research area that employs LLMs as autonomous agents to obtain human-like decision-making capabilities. Inspired by these works, we propose an LLM-powered multi-agent collaborative system, named XUAT-Copilot, for automated UAT. The proposed system mainly consists of three LLM-based agents responsible for action planning, state checking and parameter selecting, respectively, and two additional modules for state sensing and case rewriting. The agents interact with testing device, make human-like decision and generate action command in a collaborative way. The proposed multi-agent system achieves a close effectiveness to human testers in our experimental studies and gains a significant improvement of Pass@1 accuracy compared with single-agent architecture. More importantly, the proposed system has launched in the formal testing environment of WeChat Pay mobile app, which saves a considerable amount of manpower in the daily development work.","The proposed LLM-powered multi-agent collaborative system, named XUAT-Copilot, for automated UAT, achieves a close effectiveness to human testers in experimental studies and gains a significant improvement of Pass@1 accuracy compared with single-agent architecture."
"Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A
  Framework for Senior Design Projects","https://scispace.com/paper/harnessing-multi-agent-llms-for-complex-engineering-problem-2q2r0hrm0klk","2025","Journal Article","","A. Mushtaq
Muhammad Naeem
Ibrahim Ghaznavi
Muhammad Taj
Imran Hashmi
Junaid Qadir","10.48550/arxiv.2501.01205","https://scispace.compdf/harnessing-multi-agent-llms-for-complex-engineering-problem-2q2r0hrm0klk.pdf","Multi-Agent Large Language Models (LLMs) are gaining significant attention for their ability to harness collective intelligence in complex problem-solving, decision-making, and planning tasks. This aligns with the concept of the wisdom of crowds, where diverse agents contribute collectively to generating effective solutions, making it particularly suitable for educational settings. Senior design projects, also known as capstone or final year projects, are pivotal in engineering education as they integrate theoretical knowledge with practical application, fostering critical thinking, teamwork, and real-world problem-solving skills. In this paper, we explore the use of Multi-Agent LLMs in supporting these senior design projects undertaken by engineering students, which often involve multidisciplinary considerations and conflicting objectives, such as optimizing technical performance while addressing ethical, social, and environmental concerns. We propose a framework where distinct LLM agents represent different expert perspectives, such as problem formulation agents, system complexity agents, societal and ethical agents, or project managers, thus facilitating a holistic problem-solving approach. This implementation leverages standard multi-agent system (MAS) concepts such as coordination, cooperation, and negotiation, incorporating prompt engineering to develop diverse personas for each agent. These agents engage in rich, collaborative dialogues to simulate human engineering teams, guided by principles from swarm AI to efficiently balance individual contributions towards a unified solution. We adapt these techniques to create a collaboration structure for LLM agents, encouraging interdisciplinary reasoning and negotiation similar to real-world senior design projects. To assess the efficacy of this framework, we collected six proposals of engineering and computer science of... ","This paper proposes a framework using Multi-Agent Large Language Models to support senior design projects in engineering education, integrating diverse expert perspectives and facilitating holistic problem-solving through collaborative dialogue and negotiation."
"Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation","https://scispace.com/paper/transforming-software-development-a-study-on-the-integration-6lf467yygi78","2024","Journal Article","","Rolando Ramírez-Rueda
Edgard Benítez–Guerrero
Carmen Mezura-Godoy
Everardo Bárcenas","10.1109/conisoft63288.2024.00013","","This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.","This study integrates Multi-Agent Systems and Large Language Models for automatic code generation, addressing traditional coding limitations, and demonstrates enhanced productivity, adaptability, and quality through collaborative MAS and LLMs in software development processes."
"Large Language Model Applied in Multi-agent SystemA Survey","https://scispace.com/paper/large-language-model-applied-in-multi-agent-systema-survey-40i6jj60c2ky","2024","Journal Article","Applied and Computational Engineering","Kaiwen Dong","10.54254/2755-2721/109/20241330","https://scispace.compdf/large-language-model-applied-in-multi-agent-systema-survey-40i6jj60c2ky.pdf","Abstract. The application of large language models (LLMs) in single-agent systems within complex environments has proven successful, prompting a growing interest in their use within multi-agent systems (MAS). Despite the impressive capabilities of LLMs, it remains unclear how they can be optimally integrated and utilized to empower agents in MAS. Understanding how to effectively leverage the advantages of LLMs to enhance agent performance is crucial. This survey provides a comprehensive overview of the application of LLMs in MAS, focusing on their impact on agent cooperation, reasoning, and adaptive abilities. Finally, we discuss future directions and open questions in this evolving field. ","This survey explores the application of large language models in multi-agent systems, examining their impact on agent cooperation, reasoning, and adaptability, and discusses future directions and open questions in leveraging LLMs to enhance agent performance in complex environments."
"Advancements in Multi-Agent Large Language Model Systems for Next-Generation AI","https://scispace.com/paper/advancements-in-multi-agent-large-language-model-systems-for-3mo2z2t1lw0w","2025","Journal Article","Advances in computational intelligence and robotics book series","Rajeshwari Sissodia
Vinay Dwivedi
Tikesh Verma","10.4018/979-8-3373-1419-8.ch001","","The integration of Multi-Agent Systems (MAS) with Large Language Models (LLMs) represents a significant advancement in the field of artificial intelligence, enabling the development of intelligent, autonomous systems capable of solving complex tasks and enhancing decision-making. MAS, composed of multiple interacting agents with autonomous decision-making abilities, and LLMs, which leverage vast amounts of textual data to understand and generate human-like language, can work synergistically to create more robust AI systems. This chapter explores the fundamentals of MAS and LLMs, their individual and combined strengths, and their potential to address complex challenges in various fields, such as robotics, healthcare, and business. We discuss key features of both MAS and LLMs, including agent collaboration, reinforcement learning, and contextual understanding in language models. The chapter also examines the integration of these two domains, highlighting their potential for collaborative problem-solving, decision support, and knowledge extraction. ","This chapter explores the integration of Multi-Agent Systems and Large Language Models to develop intelligent, autonomous systems for complex tasks, enhancing decision-making in fields like robotics, healthcare, and business through synergistic collaboration and contextual understanding."
"MetaGPT: Meta Programming for Multi-Agent Collaborative Framework","https://scispace.com/paper/metagpt-meta-programming-for-multi-agent-collaborative-557x8qhz78","2023","Journal Article","arXiv.org","Sirui Hong
Xiawu Zheng
Jonathan P. Chen
Yuheng Cheng
Ceyao Zhang
Zili Wang
Steven Ka Shing Yau
Z. Lin
Liyang Zhou
Chenyu Ran
Lingfeng Xiao
Chenglin Wu","10.48550/arxiv.2308.00352","","Remarkable progress has been made on automated problem solving through societies of agents based on large language models (LLMs). Existing LLM-based multi-agent systems can already solve simple dialogue tasks. Solutions to more complex tasks, however, are complicated through logic inconsistencies due to cascading hallucinations caused by naively chaining LLMs. Here we introduce MetaGPT, an innovative meta-programming framework incorporating efficient human workflows into LLM-based multi-agent collaborations. MetaGPT encodes Standardized Operating Procedures (SOPs) into prompt sequences for more streamlined workflows, thus allowing agents with human-like domain expertise to verify intermediate results and reduce errors. MetaGPT utilizes an assembly line paradigm to assign diverse roles to various agents, efficiently breaking down complex tasks into subtasks involving many agents working together. On collaborative software engineering benchmarks, MetaGPT generates more coherent solutions than previous chat-based multi-agent systems. Our project can be found at https://github.com/geekan/MetaGPT ","MetaGPT is introduced, an innovative framework that incorporates efficient human workflows as a meta programming approach into LLM-based multi-agent collaboration and leverages the assembly line paradigm to assign diverse roles to various agents, thereby establishing a framework that can effectively and cohesively deconstruct complex multi- agent collaborative problems."
"LLM-Based Multi-Agent Systems for Software Engineering: Vision and the Road Ahead","https://scispace.com/paper/llm-based-multi-agent-systems-for-software-engineering-33ujtrmbmv","2024","Journal Article","arXiv.org","Junda He
Christoph Treude
David Lo","10.48550/arxiv.2404.04834","","Integrating Large Language Models(LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities competitive to human planning and reasoning. This paper envisions the evolution of LLM-based Multi-Agent (LMA) systems in addressing complex and multi-faceted software engineering challenges. LMA systems introduce numerous benefits, including enhanced robustness through collaborative cross-examination, autonomous problem-solving, and scalable solutions to complex software projects. By examining the role of LMA systems in future software engineering practices, this vision paper highlights the potential applications and emerging challenges. We further point to specific opportunities for research and conclude with a research agenda with a set of research questions to guide future research directions.","LLM-based multi-agent systems offer cognitive abilities competitive to human planning and reasoning, enabling robust and scalable solutions for software engineering challenges."
