"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Mirror-consistency: Harnessing inconsistency in majority voting","https://scispace.com/paper/mirror-consistency-harnessing-inconsistency-in-majority-1e27h0oqbcmb","2024","Journal Article","","Siyuan Huang
Zhiyuan Ma
Jintao Du
Changhua Meng
Weiqiang Wang
Zhouhan Lin","10.48550/arxiv.2410.10857","https://arxiv.org/pdf/2410.10857","… Self-Consistency approach. Our method incorporates a ‘reflective mirror’ into the self-ensemble … To address this limitation, we introduce MirrorConsistency, which enables the LLM to …","Self-Consistency, a widely-used decoding strategy, significantly boosts the reasoning capabilities of Large Language Models (LLMs). However, it depends on the plurality voting rule, which focuses on the most frequent answer while overlooking all other minority responses. These inconsistent minority views often illuminate areas of uncertainty within the model's generation process. To address this limitation, we present Mirror-Consistency, an enhancement of the standard Self-Consistency approach. Our method incorporates a 'reflective mirror' into the self-ensemble decoding process and enables LLMs to critically examine inconsistencies among multiple generations. Additionally, just as humans use the mirror to better understand themselves, we propose using Mirror-Consistency to enhance the sample-based confidence calibration methods, which helps to mitigate issues of overconfidence. Our experimental results demonstrate that Mirror-Consistency yields superior performance in both reasoning accuracy and confidence calibration compared to Self-Consistency. "
"Ranked Voting based Self-Consistency of Large Language Models","https://scispace.com/paper/ranked-voting-based-self-consistency-of-large-language-4p79e2lpvc67","2025","Proceedings Article","","Weiqin Wang
Yile Wang
Hui Huang","10.18653/v1/2025.findings-acl.744","https://arxiv.org/pdf/2505.10772?","… improvements on GPT-3.5, while on the state-of-the-art GPT-… We introduce ranked voting based self-consistency to … Our method outperforms traditional majority voting techniques by …",""
"Universal self-consistency for large language model generation","https://scispace.com/paper/universal-self-consistency-for-large-language-model-2k10x4gnvz","2023","Journal Article","arXiv.org","Xinyun Chen
Renat Aksitov
Uri Alon
Jie Ren
Kefan Xiao
Pengcheng Yin
Sushant Prakash
Charles Sutton
Xuezhi Wang
Denny Zhou","10.48550/arxiv.2311.17311","https://arxiv.org/pdf/2311.17311","… of self-consistency, we propose Universal Self-Consistency (USC) to … self-consistency performance on both benchmarks, while USC does not utilize code execution to perform the voting…","Self-consistency with chain-of-thought prompting (CoT) has demonstrated remarkable performance gains on various challenging tasks, by utilizing multiple reasoning paths sampled from large language models (LLMs). However, self-consistency relies on the answer extraction process to aggregate multiple solutions, which is not applicable to free-form answers. In this work, we propose Universal Self-Consistency (USC), which leverages LLMs themselves to select the most consistent answer among multiple candidates. We evaluate USC on a variety of benchmarks, including mathematical reasoning, code generation, long-context summarization, and open-ended question answering. On open-ended generation tasks where the original self-consistency method is not applicable, USC effectively utilizes multiple samples and improves the performance. For mathematical reasoning, USC matches the standard self-consistency performance without requiring the answer formats to be similar. Finally, without access to execution results, USC also matches the execution-based voting performance on code generation."
"Collective constitutional ai: Aligning a language model with public input","https://scispace.com/paper/collective-constitutional-ai-aligning-a-language-model-with-48witpvtg2","2024","Preprint","","Saffron Huang
Divya Siddarth
Liane Lovitt
Thomas I. Liao
Esin Durmus
Alex Tamkin
Deep Ganguli","10.1145/3630106.3658979","https://dl.acm.org/doi/pdf/10.1145/3630106.3658979","… ), the deduplication and aggregation of similar statements, and … aggregation method such as GAC, having multiple researchers independently perform the deduplication and aggregation…","There is growing consensus that language model (LM) developers should not be the sole deciders of LM behavior, creating a need for methods that enable the broader public to collectively shape the behavior of LM systems that affect them. To address this need, we present Collective Constitutional AI (CCAI): a multi-stage process for sourcing and integrating public input into LMs—from identifying a target population to sourcing principles to training and evaluating a model. We demonstrate the real-world practicality of this approach by creating what is, to our knowledge, the first LM fine-tuned with collectively sourced public input and evaluating this model against a baseline model trained with established principles from a LM developer. Our quantitative evaluations demonstrate several benefits of our approach: the CCAI-trained model shows lower bias across nine social dimensions compared to the baseline model, while maintaining equivalent performance on language, math, and helpful-harmless evaluations. Qualitative comparisons of the models suggest that the models differ on the basis of their respective constitutions, e.g., when prompted with contentious topics, the CCAI-trained model tends to generate responses that reframe the matter positively instead of a refusal. These results demonstrate a promising, tractable pathway toward publicly informed development of language models. "
"Soft self-consistency improves language model agents","https://scispace.com/paper/soft-self-consistency-improves-language-model-agents-1i314n7n4l","2024","Journal Article","arXiv.org","Han Wang
Archiki Prasad
Elias Stengel-Eskin
Mohit Bansal","10.48550/arxiv.2402.13212","https://arxiv.org/pdf/2402.13212","… LLMs on reasoning tasks, introducing self-consistency (SC). We find that the majority voting used in SC is not suited for LLM-agent domains because the LLM’s generations may not …","Generations from large language models (LLMs) can be improved by sampling and scoring multiple solutions to select a final answer. Current""sample and select""methods such as self-consistency (SC) rely on majority voting to score answers. However, when tasks have many distinct and valid answers, selection by voting requires a large number of samples. This makes SC prohibitively expensive for interactive tasks that involve generating multiple actions (answers) sequentially. After establishing that majority voting fails to provide consistent gains on such tasks, we demonstrate how to increase success rates by softening the scoring criterion. We introduce Soft Self-Consistency (Soft-SC), which replaces SC's discontinuous scoring with a continuous score computed from model likelihoods, allowing for selection even when actions are sparsely distributed. Soft-SC improves both performance and efficiency on long-horizon interactive tasks, requiring half as many samples as SC for comparable or better performance. For a fixed number of samples, Soft-SC leads to a 1.3% increase over SC in absolute success rate on writing bash programs, a 6.6% increase on online shopping (WebShop), and a 4.7% increase for an interactive household game (ALFWorld). Finally, we show that Soft-SC can be applied to both open-source and black-box models."
"Internal consistency and self-feedback in large language models: A survey","https://scispace.com/paper/internal-consistency-and-self-feedback-in-large-language-7leuc4nt6rqt","2024","Journal Article","arXiv.org","Xun Liang
Shichao Song
Zifan Zheng
Hanyu Wang
Qingchen Yu
Xunkai Li
Rong-Hua Li
Feiyu Xiong
Zhiyu Li","10.48550/arxiv.2407.14507","https://arxiv.org/pdf/2407.14507?","… This section examines the current state of LLM consistency from two perspectives. LLMs … well-known SelfConsistency [2] explores the use of the majority voting strategy, where the LLM …","Large language models (LLMs) are expected to respond accurately but often exhibit deficient reasoning or generate hallucinatory content. To address these, studies prefixed with ``Self-'' such as Self-Consistency, Self-Improve, and Self-Refine have been initiated. They share a commonality: involving LLMs evaluating and updating itself to mitigate the issues. Nonetheless, these efforts lack a unified perspective on summarization, as existing surveys predominantly focus on categorization without examining the motivations behind these works. In this paper, we summarize a theoretical framework, termed Internal Consistency, which offers unified explanations for phenomena such as the lack of reasoning and the presence of hallucinations. Internal Consistency assesses the coherence among LLMs' latent layer, decoding layer, and response layer based on sampling methodologies. Expanding upon the Internal Consistency framework, we introduce a streamlined yet effective theoretical framework capable of mining Internal Consistency, named Self-Feedback. The Self-Feedback framework consists of two modules: Self-Evaluation and Self-Update. This framework has been employed in numerous studies. We systematically classify these studies by tasks and lines of work; summarize relevant evaluation methods and benchmarks; and delve into the concern, ``Does Self-Feedback Really Work?'' We propose several critical viewpoints, including the ``Hourglass Evolution of Internal Consistency'', ``Consistency Is (Almost) Correctness'' hypothesis, and ``The Paradox of Latent and Explicit Reasoning''. Furthermore, we outline promising directions for future research. We have open-sourced the experimental code, reference list, and statistical data, available at \url{https://github.com/IAAR-Shanghai/ICSFSurvey}."
"Beyond Self-consistency: Ensemble Reasoning Boosts Consistency and Accuracy of LLMs in Cancer Staging","https://scispace.com/paper/beyond-self-consistency-ensemble-reasoning-boosts-48dwpyc2fe","2024","Journal Article","arXiv.org","Chia-Hsuan Chang
Mary M. Lucas
Yeawon Lee
Christopher C. Yang
Grace Lu-Yao","10.48550/arxiv.2404.13149","https://arxiv.org/pdf/2404.13149","… an ensemble reasoning approach, aiming for reliable cancer stage extraction. Utilizing an open-source clinical LLM on real-world reports, we demonstrate that the ensemble approach …","Advances in large language models (LLMs) have encouraged their adoption in the healthcare domain where vital clinical information is often contained in unstructured notes. Cancer staging status is available in clinical reports, but it requires natural language processing to extract the status from the unstructured text. With the advance in clinical-oriented LLMs, it is promising to extract such status without extensive efforts in training the algorithms. Prompting approaches of the pre-trained LLMs that elicit a model's reasoning process, such as chain-of-thought, may help to improve the trustworthiness of the generated responses. Using self-consistency further improves model performance, but often results in inconsistent generations across the multiple reasoning paths. In this study, we propose an ensemble reasoning approach with the aim of improving the consistency of the model generations. Using an open access clinical large language model to determine the pathologic cancer stage from real-world pathology reports, we show that the ensemble reasoning approach is able to improve both the consistency and performance of the LLM in determining cancer stage, thereby demonstrating the potential to use these models in clinical or other domains where reliability and trustworthiness are critical."
"Integrate the essence and eliminate the dross: Fine-grained self-consistency for free-form language generation","https://scispace.com/paper/integrate-the-essence-and-eliminate-the-dross-fine-grained-43m6q2a7zt","2024","Journal Article","","Xinglin Wang
Yiwei Li
Shaoxiong Feng
Peiwen Yuan
Boyuan Pan
Heda Wang
Yao Hu
Kan Li","10.48550/arxiv.2407.02056","https://arxiv.org/pdf/2407.02056","… the LLM input length, the number of samples inputted to the LLM for consistency extraction is limited. By merging, we can provide the LLM … the voting. surprisingly, FSC outperform SC on …","Self-consistency (SC), leveraging multiple samples from LLMs, shows significant gains on various reasoning tasks but struggles with free-form generation due to the difficulty of aggregating answers. Its variants, UCS and USC, rely on sample selection or voting mechanisms to improve output quality. These methods, however, face limitations due to their inability to fully utilize the nuanced consensus knowledge present within multiple candidate samples, often resulting in suboptimal outputs. We propose Fine-Grained Self-Consistency (FSC) to addresses these limitations by extracting and integrating segment-level commonalities from candidate samples, enhancing the performance of LLMs both in open-ended and reasoning tasks. Based on this, we present two additional strategies: candidate filtering, which enhances overall quality by identifying highly similar candidate sets, and merging, which reduces input token requirements by combining similar samples. The effectiveness of FSC is demonstrated through extensive experiments on various tasks, including summarization, code generation, and mathematical reasoning, using GPT-3.5-turbo and GPT-4. The results indicate significant improvements over baseline methods, showcasing the potential of FSC to optimize output quality by effectively synthesizing fine-grained consensus knowledge from multiple samples. "
"Semantic Voting: A Self-Evaluation-Free Approach for Efficient LLM Self-Improvement on Unverifiable Open-ended Tasks","https://scispace.com/paper/vN2wF-zbRf4J","","","","C Jiang
Y Zhang
Y Cai
CM Chan
Y Liu","","https://arxiv.org/pdf/2509.23067","… Straightforward unsupervised signals like majority voting have proven effective in … Inspired by majority voting commonly employed in verifiable tasks, we propose semantic voting as a …",""
"Latent Self-Consistency for Reliable Majority-Set Selection in Short-and Long-Answer Reasoning","https://scispace.com/paper/TbN7Uc1iZZUJ","","","","J Oh
J Lee","","https://arxiv.org/pdf/2508.18395","… For short-answer tasks, majority sets are determined by exact-match voting; for long answers, we use GPT-4.1 to identify the majority set (see Appendix B for the prompt). Table 4 …",""
