Paper Title,Relevance
ChatUniTest: A Framework for LLM-Based Test Generation,"- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides an LLM-driven test generation framework with adaptive prompting, thorough evaluation, open-source code, and real-world case studies, but lacks multi-model analysis."
An empirical evaluation of using large language models for automated unit test generation,"- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑3.5 (and others) to generate JavaScript unit tests via detailed prompts; evaluates coverage vs baselines; compares multiple LLMs, showing single‑model focus with cross‑model analysis."
"An Empirical Evaluation of Using Large Language Models for Automated
  Unit Test Generation","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑3.5 to generate JavaScript unit tests, employs few‑shot and re‑prompting, reports coverage metrics versus baselines, compares three LLMs but no ensemble."
An initial investigation of ChatGPT unit test generation capability,"- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to generate Java unit tests and evaluates them with coverage and mutation scores, but provides limited prompting detail and no multi‑model analysis; lacks open‑source code and real‑world case studies."
CoverUp: Effective High Coverage Test Generation for Python,"- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM‑driven iterative prompting to generate high‑coverage Python tests; achieves 80‑89% line/branch coverage; benchmarks against CodaMosa and MuTAP; evaluates on open‑source projects."
Aster: Natural and multi-language unit test generation with llms,"- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs to generate multi‑language unit tests, designs prompting techniques, reports coverage and fault‑detection metrics, primarily a single‑model approach, mentions related tools but lacks open source, real‑world case studies, and dedicated limitation discussion."
Adaptive Test Generation Using a Large Language Model,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Codex to generate tests with detailed prompts and adaptive re‑prompting; reports coverage and assertion metrics; focuses on a single LLM without multi‑model comparison."
ChatUniTest: a ChatGPT-based automated unit test generation tool,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to generate unit tests, designs prompting techniques, reports coverage and fault‑detection results, but focuses on a single model without extensive multi‑model comparison."
"TestART: Improving LLM-based Unit Test via Co-evolution of Automated
  Generation and Repair Iteration","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs with prompt injection and repair loops; reports coverage and pass rates versus baselines; mentions multiple LLM versions but no ensemble design."
Unit test generation using generative AI: A comparative performance analysis of autogeneration tools,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to generate Python unit tests, evaluates prompt engineering for coverage gains, reports quantitative coverage and correctness, and suggests combining with Pynguin, though multi‑LLM methods aren’t explored."
ChatUniTest: a ChatGPT-based automated unit test generation tool,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to generate unit tests, designs prompting techniques, reports coverage and fault‑detection results, but focuses on a single model without extensive multi‑model comparison."
No more manual tests? evaluating and improving chatgpt for unit test generation,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT as the core generator (ChatTESTER); evaluates coverage, readability, and correctness; mentions iterative prompting but lacks detailed prompting methodology; focuses on a single LLM without multi‑model comparison."
AgentTester: An LLM-Based Tool for Unit Test Generation with Automatically Generated Prompts,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses an LLM as the core engine for unit test generation, designs automatically generated prompts to steer test creation, evaluates coverage and fault detection, but focuses on a single model without extensive multi‑model comparison."
An initial investigation of ChatGPT unit test generation capability,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses OpenAI LLM to auto‑generate Java unit tests and reports line coverage, mutation score, and execution success. Varies API parameters but lacks detailed prompting methods. Employs a single LLM without multi‑model comparison."
