"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"LTM: Scalable and Black-box Similarity-based Test Suite Minimization based on Language Models","https://scispace.com/paper/ltm-scalable-and-black-box-similarity-based-test-suite-2dvyb2p6","2023","Journal Article","arXiv.org","Rongqing Pan
Taher Ahmed Ghaleb
Lionel C. Briand","10.48550/arXiv.2304.01397","","Test suite minimization (TSM) is typically used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability of the test suite. Though many TSM approaches exist, most of them rely on code coverage (white-box) or model-based features, which are not always available for test engineers. Recent TSM approaches that rely only on test code (black-box) have been proposed, such as ATM and FAST-R. Though ATM achieves a better trade-off between effectiveness and efficiency than FAST-R, it suffers from scalability issues for large software systems as its execution time increases rapidly with test suite size. To address scalability, we propose LTM, a scalable and black-box similarity-based TSM approach based on language models. To support similarity measurement, we investigated three different pre-trained language models: CodeBERT, GraphCodeBERT, and UniXcoder, to extract embeddings of test code (Java test methods), on which we computed two similarity measures: Cosine Similarity and Euclidean Distance. Our goal is to find similarity measures that are not only computationally more efficient but can also better guide a Genetic Algorithm (GA), which is used for minimizing test suites, thus reducing minimization time. Experimental results showed that the best configuration of LTM (using UniXcoder with Cosine similarity) outperformed the best two configurations of ATM by achieving significantly higher fault detection rates (0.84 versus 0.81, on average) and, more importantly, running much faster (26.73 minutes versus 72.75 minutes, on average) than ATM, in terms of both preparation time (up to two orders of magnitude faster) and minimization time (one order of magnitude faster).","In this paper , a scalable and black-box similarity-based TSM approach based on language models is proposed to address scalability, which is used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability."
"LTM: Scalable and Black-box Similarity-based Test Suite Minimization
  based on Language Models","https://scispace.com/paper/ltm-scalable-and-black-box-similarity-based-test-suite-2de19u9j","2023","Posted Content","","","10.48550/arxiv.2304.01397","https://scispace.com/pdf/ltm-scalable-and-black-box-similarity-based-test-suite-2de19u9j.pdf","Test suite minimization (TSM) is typically used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability of the test suite. Though many TSM approaches exist, most of them rely on code coverage (white-box) or model-based features, which are not always available for test engineers. Recent TSM approaches that rely only on test code (black-box) have been proposed, such as ATM and FAST-R. Though ATM achieves a better trade-off between effectiveness and efficiency than FAST-R, it suffers from scalability issues for large software systems as its execution time increases rapidly with test suite size. To address scalability, we propose LTM, a scalable and black-box similarity-based TSM approach based on language models. To support similarity measurement, we investigated three different pre-trained language models: CodeBERT, GraphCodeBERT, and UniXcoder, to extract embeddings of test code (Java test methods), on which we computed two similarity measures: Cosine Similarity and Euclidean Distance. Our goal is to find similarity measures that are not only computationally more efficient but can also better guide a Genetic Algorithm (GA), which is used for minimizing test suites, thus reducing minimization time. Experimental results showed that the best configuration of LTM (using UniXcoder with Cosine similarity) outperformed the best two configurations of ATM by achieving significantly higher fault detection rates (0.84 versus 0.81, on average) and, more importantly, running much faster (26.73 minutes versus 72.75 minutes, on average) than ATM, in terms of both preparation time (up to two orders of magnitude faster) and minimization time (one order of magnitude faster). ","In this article , a scalable and black-box similarity-based TSM approach based on language models is proposed to address scalability, which is used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability."
"Source Code is a Graph, Not a Sequence: A Cross-Lingual Perspective on Code Clone Detection","https://scispace.com/paper/source-code-is-a-graph-not-a-sequence-a-cross-lingual-5xf2exhm3l","2023","Journal Article","arXiv.org","Mohammed Ataaur Rahaman
Julia Ive","10.48550/arxiv.2312.16488","https://scispace.compdf/source-code-is-a-graph-not-a-sequence-a-cross-lingual-5xf2exhm3l.pdf","Source code clone detection is the task of finding code fragments that have the same or similar functionality, but may differ in syntax or structure. This task is important for software maintenance, reuse, and quality assurance (Roy et al. 2009). However, code clone detection is challenging, as source code can be written in different languages, domains, and styles. In this paper, we argue that source code is inherently a graph, not a sequence, and that graph-based methods are more suitable for code clone detection than sequence-based methods. We compare the performance of two state-of-the-art models: CodeBERT (Feng et al. 2020), a sequence-based model, and CodeGraph (Yu et al. 2023), a graph-based model, on two benchmark data-sets: BCB (Svajlenko et al. 2014) and PoolC (PoolC no date). We show that CodeGraph outperforms CodeBERT on both data-sets, especially on cross-lingual code clones. To the best of our knowledge, this is the first work to demonstrate the superiority of graph-based methods over sequence-based methods on cross-lingual code clone detection.","This work argues that source code is inherently a graph, not a sequence, and that graph-based methods are more suitable for code clone detection than sequence-based methods, and shows that CodeGraph outperforms CodeBERT on both data-sets, especially on cross-lingual code clones."
"Identifying Similar Test Cases That Are Specified in Natural Language","https://scispace.com/paper/identifying-similar-test-cases-that-are-specified-in-natural-2kgjvq6l","2023","Journal Article","IEEE Transactions on Software Engineering","","10.1109/tse.2022.3170272","https://scispace.com/pdf/identifying-similar-test-cases-that-are-specified-in-natural-2kgjvq6l.pdf","Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases (which consist of one or more test steps that need to be executed manually by the tester) are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and three techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 86.13%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant test cases), which help to reduce the testing manual effort and time. ","In this paper , a combination of text embedding, text similarity, and clustering techniques is used to identify similar test cases, which helps to reduce the testing manual effort and time."
"A Machine Learning Approach for Source Code Similarity via Graph-Focused Features","https://scispace.com/paper/a-machine-learning-approach-for-source-code-similarity-via-3vjchc6j7d","2024","Book Chapter","Lecture Notes in Computer Science","Giacomo Boldini
Alessio Diana
Vincenzo Arceri
Vincenzo Bonnici
Roberto Bagnara","10.1007/978-3-031-53969-5_5","","Source code similarity aims at recognizing common characteristics between two different codes by means of their components. It plays a significant role in many activities regarding software development and analysis which have the potential of assisting software teams working on large codebases. Existing approaches aim at computing similarity between two codes by suitable representation of them which captures syntactic and semantic properties. However, they lack explainability and generalization for multiple languages comparison. Here, we present a preliminary result that attempts at providing a graph-focused representation of code by means of which clustering and classification of programs is possible while exposing explainability and generalizability characteristics. ","A novel graph-focused approach for source code similarity that enhances explainability and generalizability for multiple languages."
"Advanced Detection of Source Code Clones via an Ensemble of Unsupervised
  Similarity Measures","https://scispace.com/paper/advanced-detection-of-source-code-clones-via-an-ensemble-of-32ycaveix6","2024","Preprint","","Jorge Martínez-Gil","10.48550/arxiv.2405.02095","https://scispace.compdf/advanced-detection-of-source-code-clones-via-an-ensemble-of-32ycaveix6.pdf","The capability of accurately determining code similarity is crucial in many tasks related to software development. For example, it might be essential to identify code duplicates for performing software maintenance. This research introduces a novel ensemble learning approach for code similarity assessment, combining the strengths of multiple unsupervised similarity measures. The key idea is that the strengths of a diverse set of similarity measures can complement each other and mitigate individual weaknesses, leading to improved performance. Preliminary results show that while Transformers-based CodeBERT and its variant GraphCodeBERT are undoubtedly the best option in the presence of abundant training data, in the case of specific small datasets (up to 500 samples), our ensemble achieves similar results, without prejudice to the interpretability of the resulting solution, and with a much lower associated carbon footprint due to training. The source code of this novel approach can be downloaded from https://github.com/jorge-martinez-gil/ensemble-codesim. ","A novel ensemble learning approach for code similarity assessment improves performance over individual similarity measures, achieving similar results to state-of-the-art models like Transformers-based CodeBERT and GraphCodeBERT, even with small datasets."
"Improving Source Code Similarity Detection Through GraphCodeBERT and
  Integration of Additional Features","https://scispace.com/paper/improving-source-code-similarity-detection-through-4fe5u9r8nkcw","2024","Journal Article","","Jorge Martínez-Gil","10.48550/arxiv.2408.08903","http://arxiv.org/pdf/2408.08903","This paper presents a novel approach for source code similarity detection that integrates an additional output feature into the classification process with the goal of improving model performance. Our approach is based on the GraphCodeBERT model, extended with a custom output feature layer and a concatenation mechanism for improved feature representation. The model was trained and evaluated, achieving promising results in terms of precision, recall, and f-measure. The implementation details, including model architecture and training strategies are discussed. The source code that illustrates our approach can be downloaded from https://www.github.com/jorge-martinez-gil/graphcodebert-feature-integration. ","This paper improves source code similarity detection by integrating an additional output feature into GraphCodeBERT, achieving promising results in precision, recall, and f-measure through a custom output feature layer and concatenation mechanism."
"A Comparative Analysis of Text Embedding Models for Bug Report Semantic Similarity","https://scispace.com/paper/a-comparative-analysis-of-text-embedding-models-for-bug-2p0821e9as","2024","Proceedings Article","","Avinash Patil
Aryan Jadon","10.1109/spin60856.2024.10512000","","Bug reports are an essential aspect of software development, and it is crucial to identify and resolve them quickly to ensure the consistent functioning of software systems. Retrieving similar bug reports from an existing database can help reduce the time and effort required to resolve bugs. In this paper, we compared the effectiveness of semantic textual similarity methods for retrieving similar bug reports based on a similarity score. We explored several embedding models such as TF-IDF (Baseline), FastText, Gensim, BERT, and ADA. We used the Software Defects Data containing bug reports for various software projects to evaluate the performance of these models. Our experimental results showed that BERT generally outperformed the rest of the models regarding recall, followed by ADA, Gensim, FastText, and TFIDF. Our study provides insights into the effectiveness of different embedding methods for retrieving similar bug reports and highlights the impact of selecting the appropriate one for this task. Our code is available on GitHub.","A comparative analysis of text embedding models for bug report semantic similarity showed that BERT generally outperformed other models, followed by ADA, Gensim, FastText, and TFIDF."
"Mapping the Repository Landscape: Harnessing Similarity with RepoSim and RepoSnipy","https://scispace.com/paper/mapping-the-repository-landscape-harnessing-similarity-with-c5jifn0uq9","2023","Journal Article","","Zihao Li
Rosa Filgueira","10.1109/e-science58273.2023.10254873","","The rapid growth of scientific software development has led to the emergence of large and complex codebases, making it challenging to search, find, and compare software repositories within the scientific research community. In this paper, we propose a solution by leveraging deep learning techniques to learn embeddings that capture semantic similarities among repositories. Our approach focuses on identifying repositories with similar semantics, even when their code fragments and documentation exhibit different syntax. To address this challenge, we introduce two complementary open-source tools: RepoSim and RepoSnipy. RepoSim is a command-line toolbox designed to represent repositories at both the source code and documentation levels. It utilizes the UniXcoder pre-trained language model, which has demonstrated remarkable performance in code-related understanding tasks. RepoSnipy is a web-based neural semantic search engine that utilizes the powerful capabilities of RepoSim and offers a user-friendly search interface, allowing researchers and practitioners to query public repositories hosted on GitHub and discover semantically similar repositories. RepoSim and RepoSnipy empower researchers, developers, and practitioners by facilitating the comparison and analysis of software repositories. They not only enable efficient collaboration and code reuse but also accelerate the development of scientific software. ","This paper proposes a solution by leveraging deep learning techniques to learn embeddings that capture semantic similarities among repositories by identifying repositories with similar semantics, even when their code fragments and documentation exhibit different syntax."
"HELoC: Hierarchical Contrastive Learning of Source Code Representation","https://scispace.com/paper/heloc-hierarchical-contrastive-learning-of-source-code-3v261h34","2022","Proceedings Article","IEEE International Conference on Program Comprehension","Xiao Wang
Qiong Wu
Hongyu Zhang
Chen Lyu
Xue Jiang
Zhuoran Zheng
Lei Lyu
Songlin Hu","10.1145/3524610.3527896","","Abstract syntax trees (ASTs) play a crucial role in source code representation. However, due to the large number of nodes in an AST and the typically deep AST hierarchy, it is challenging to learn the hierarchical structure of an AST effectively. In this paper, we propose HELoC, a hierarchical contrastive learning model for source code representation. To effectively learn the AST hierarchy, we use contrastive learning to allow the network to predict the AST node level and learn the hierarchical relationships between nodes in a self-supervised manner, which makes the representation vectors of nodes with greater differences in AST levels farther apart in the embedding space. By using such vectors, the structural similarities between code snippets can be measured more precisely. In the learning process, a novel GNN (called Residual Self-attention Graph Neural Network, RSGNN) is designed, which enables HELoC to focus on embedding the local structure of an AST while capturing its overall structure. HELoC is self-supervised and can be applied to many source code related downstream tasks such as code classification, code clone detection, and code clustering after pre-training. Our extensive experiments demonstrate that HELoC outperforms the state-of-the-art source code representation models.","HELoC, a hierarchical contrastive learning model for source code representation that makes the representation vectors of nodes with greater differences in AST levels farther apart in the embedding space so that the structural similarities between code snippets can be measured more precisely."
