Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
An argumentation-based framework for deliberation in multi-agent systems,"- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses AMAL argumentation framework for committee deliberation, includes argument exchange, confidence‑based voting, and shows higher judgment accuracy versus single‑agent baselines.",https://scispace.com/paper/an-argumentation-based-framework-for-deliberation-in-multi-1suu2uv64o,2007,Book Chapter,"","Santi Ontañón
Enric Plaza",10.1007/978-3-540-78915-4_12,https://www.iiia.csic.es/People/enric/papers/argumentation-learning-LNAI.pdf,"This paper focuses of the group judgments obtained from a committee of agents that use deliberation. The deliberative process is realized by an argumentation framework called AMAL. The AMAL framework is completely based on learning from examples: the argument preference relation, the argument generation policy, and the counterargument generation policy are case-based techniques. For join deliberation, learning agents share their experience by forming a committee to decide upon some joint decision. We experimentally show that the deliberation in committees of agents improves the accuracy of group judgments. We also show that a voting scheme based on assessing the confidence of arguments improves the accuracy of group judgments than majority voting."
"Improving Factuality and Reasoning in Language Models through Multiagent
  Debate","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses multiple LLM instances to debate and iteratively refine answers, implements voting/consensus to select final response, and shows empirical gains in reasoning and factuality versus single‑shot baselines.",https://scispace.com/paper/improving-factuality-and-reasoning-in-language-models-dnorux6k,2023,Posted Content,"","",10.48550/arxiv.2305.14325,https://scispace.com/pdf/improving-factuality-and-reasoning-in-language-models-dnorux6k.pdf,"Large language models (LLMs) have demonstrated remarkable capabilities in language generation, understanding, and few-shot learning in recent years. An extensive body of work has explored how their performance may be further improved through the tools of prompting, ranging from verification, self-consistency, or intermediate scratchpads. In this paper, we present a complementary approach to improve language responses where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer. Our findings indicate that this approach significantly enhances mathematical and strategic reasoning across a number of tasks. We also demonstrate that our approach improves the factual validity of generated content, reducing fallacious answers and hallucinations that contemporary models are prone to. Our approach may be directly applied to existing black-box models and uses identical procedure and prompts for all tasks we investigate. Overall, our findings suggest that such ""society of minds"" approach has the potential to significantly advance the capabilities of LLMs and pave the way for further breakthroughs in language generation and understanding. "
NomicLaw: Emergent Trust and Strategic Argumentation in LLMs During Collaborative Law-Making,"- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a council of LLMs to draft laws, debates proposals, votes on them, and shows higher quality outcomes versus single‑shot baselines.",https://scispace.com/paper/nomiclaw-emergent-trust-and-strategic-argumentation-in-llms-ydejytoxf85s,2025,Journal Article,arXiv.org,"Asutosh Hota
Jussi P. P. Jokinen",10.48550/arxiv.2508.05344,https://scispace.compdf/nomiclaw-emergent-trust-and-strategic-argumentation-in-llms-ydejytoxf85s.pdf,"Recent advancements in large language models (LLMs) have extended their capabilities from basic text processing to complex reasoning tasks, including legal interpretation, argumentation, and strategic interaction. However, empirical understanding of LLM behavior in open-ended, multi-agent settings especially those involving deliberation over legal and ethical dilemmas remains limited. We introduce NomicLaw, a structured multi-agent simulation where LLMs engage in collaborative law-making, responding to complex legal vignettes by proposing rules, justifying them, and voting on peer proposals. We quantitatively measure trust and reciprocity via voting patterns and qualitatively assess how agents use strategic language to justify proposals and influence outcomes. Experiments involving homogeneous and heterogeneous LLM groups demonstrate how agents spontaneously form alliances, betray trust, and adapt their rhetoric to shape collective decisions. Our results highlight the latent social reasoning and persuasive capabilities of ten open-source LLMs and provide insights into the design of future AI systems capable of autonomous negotiation, coordination and drafting legislation in legal settings."
Decision Protocols in Multi-Agent Large Language Model Conversations,"- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Implements a council of LLM agents with voting, consensus, and judge mechanisms; agents debate and critique proposals; uses explicit aggregation methods; reports higher quality outputs versus single‑shot baselines.",https://scispace.com/paper/KIXk_Vsf6IIJ,"","","",LB Kaesberg,"",https://gipplab.org/wp-content/papercite-data/pdf/kaesberg2024.pdf,""
Minimizing hallucinations and communication costs: Adversarial debate and voting mechanisms in llm-based multi-agents,"- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a council of LLM agents with adversarial debate and voting to detect hallucinations; implements structured argumentation and aggregation; reports lower error rates versus single‑shot baselines.",https://scispace.com/paper/minimizing-hallucinations-and-communication-costs-3ahpyhsr4vfb,2025,Journal Article,Applied Sciences,"Yi Yang
Yitong Ma
Hao Feng
Yiming Cheng
Zhu Han",10.3390/app15073676,"",""
Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,"- **Relevance Score:** 91/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Corex builds a council of persona‑assigned LLM agents that debate, review, and retrieve, employing voting‑like aggregation and showing gains versus single‑shot baselines.",https://scispace.com/paper/corex-pushing-the-boundaries-of-complex-reasoning-through-13hse5j4hj,2023,Journal Article,arXiv.org,"Qiushi Sun
Zhangyue Yin
Xiang Li
Zhiyong Wu
Xipeng Qiu
Lingpeng Kong",10.48550/arxiv.2310.00280,https://scispace.compdf/corex-pushing-the-boundaries-of-complex-reasoning-through-13hse5j4hj.pdf,"Large Language Models (LLMs) are evolving at an unprecedented pace and have exhibited considerable capability in the realm of natural language processing (NLP) with world knowledge. Benefiting from ultra-large-scale training corpora, a single LLM can manage typical NLP tasks competently. However, its performance in executing reasoning tasks is still confined by the limitations of its internal representations. To push this boundary further, we introduce Corex in this paper, a suite of novel general-purpose strategies that transform LLMs into autonomous agents pioneering multi-model collaborations for complex task-solving. Inspired by human behaviors, Corex is constituted by diverse collaboration paradigms including Debate, Review, and Retrieve modes, which collectively work towards enhancing the factuality, faithfulness, and reliability of the reasoning process. These paradigms foster task-agnostic approaches that enable LLMs to ''think outside the box,'' thereby overcoming hallucinations and providing better solutions. Through extensive experiments across four different types of reasoning tasks, we demonstrate that orchestrating multiple LLMs to work in concert yields substantially better performance compared to existing methods. Further results and in-depth analysis demonstrate the cost-effectiveness of our method, facilitating collaboration among different LLMs and promoting annotation efficiency."
"Enhancing Multi-Agent Consensus through Third-Party LLM Integration:
  Analyzing Uncertainty and Mitigating Hallucinations in Large Language Models","- **Relevance Score:** 91/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses third‑party LLMs as council members with a neutral moderator, conducts multi‑round debates, applies uncertainty‑based weighting to aggregate answers, and reports better results than single‑shot baselines.",https://scispace.com/paper/enhancing-multi-agent-consensus-through-third-party-llm-4v99nw22lsev,2024,Journal Article,"","Zhihua Duan
Jialin Wang",10.48550/arxiv.2411.16189,https://scispace.compdf/enhancing-multi-agent-consensus-through-third-party-llm-4v99nw22lsev.pdf,"Large Language Models (LLMs) still face challenges when dealing with complex reasoning tasks, often resulting in hallucinations, which limit the practical application of LLMs. To alleviate this issue, this paper proposes a new method that integrates different LLMs to expand the knowledge boundary, reduce dependence on a single model, and promote in-depth debate among agents. The main contributions include: 1) Introducing third-party LLMs to adjust the attention weights of agents through uncertainty estimation and confidence analysis, optimizing consensus formation in multi-agent systems; 2) Experiments on arithmetic datasets have validated the effectiveness of the method, surpassing traditional multi-agent baselines. This research provides a new perspective for large models to alleviate hallucination phenomena when dealing with complex tasks. "
"Adversarial Multi-Agent Evaluation of Large Language Models through
  Iterative Debates","- **Relevance Score:** 91/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses council of advocate agents with judge/jury debates; implements iterative argumentative exchange; aggregates via judge decision; shows empirical error reduction versus single-shot.",https://scispace.com/paper/adversarial-multi-agent-evaluation-of-large-language-models-gd1vo9yhhto5,2024,Journal Article,"","Chaithanya Bandi
Hari Bandi
Abir Harrasse",10.48550/arxiv.2410.04663,https://scispace.compdf/adversarial-multi-agent-evaluation-of-large-language-models-gd1vo9yhhto5.pdf,"This paper explores optimal architectures for evaluating the outputs of large language models (LLMs) using LLMs themselves. We propose a novel framework that interprets LLMs as advocates within an ensemble of interacting agents, allowing them to defend their answers and reach conclusions through a judge and jury system. This approach offers a more dynamic and comprehensive evaluation process compared to traditional human-based assessments or automated metrics. We discuss the motivation behind this framework, its key components, and comparative advantages. We also present a probabilistic model to evaluate the error reduction achieved by iterative advocate systems. Finally, we outline experiments to validate the effectiveness of multi-advocate architectures and discuss future research directions. "
"Improving Factuality and Reasoning in Language Models through Multiagent
  Debate","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a council of LLMs that debate to converge on answers, showing empirical gains over single‑shot generation; lacks explicit voting mechanisms.",https://scispace.com/paper/improving-factuality-and-reasoning-in-language-models-dnorux6k,2023,Posted Content,"","",10.48550/arxiv.2305.14325,https://scispace.com/pdf/improving-factuality-and-reasoning-in-language-models-dnorux6k.pdf,"Large language models (LLMs) have demonstrated remarkable capabilities in language generation, understanding, and few-shot learning in recent years. An extensive body of work has explored how their performance may be further improved through the tools of prompting, ranging from verification, self-consistency, or intermediate scratchpads. In this paper, we present a complementary approach to improve language responses where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer. Our findings indicate that this approach significantly enhances mathematical and strategic reasoning across a number of tasks. We also demonstrate that our approach improves the factual validity of generated content, reducing fallacious answers and hallucinations that contemporary models are prone to. Our approach may be directly applied to existing black-box models and uses identical procedure and prompts for all tasks we investigate. Overall, our findings suggest that such ""society of minds"" approach has the potential to significantly advance the capabilities of LLMs and pave the way for further breakthroughs in language generation and understanding. "
Simulating Expert Discussions with Multi-agent for Enhanced Scientific Problem Solving,"- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses multiple LLMs as domain experts organized in a council, employs collaborative discussion to resolve disagreements, applies agreement checks as consensus, and reports higher accuracy versus single‑shot baselines.",https://scispace.com/paper/simulating-expert-discussions-with-multi-agent-for-enhanced-233i75y3kyqx,2024,Journal Article,"","Ziyue Li
Chang Yuan
Xiaoqiu Le",10.18653/v1/2024.sdp-1.23,https://scispace.compdf/simulating-expert-discussions-with-multi-agent-for-enhanced-233i75y3kyqx.pdf,"Large Language Models (LLMs) have shown remarkable potential across various domains, yet their application in addressing complex scientific problems remains a formidable challenge. This paper presents a novel methodology to augment the problem-solving capabilities of LLMs by assigning them roles as domain-specific experts. By simulating a panel of experts, each LLM is tasked with delivering professional and cautious responses to scientific inquiries. Our approach involves querying multiple LLMs and assessing the consistency of their responses. High agreement among the LLMs suggests greater confidence in the proposed solution, whereas discrepancies prompt a collaborative discussion among the LLMs to reach a consensus. This method emulates real-world scientific problem-solving processes, fostering a more reliable and robust mechanism for LLMs to tackle scientific questions. Our experimental results show that assigning roles to multiple LLMs as domain-specific experts significantly improves their accuracy and reliability in solving scientific problems. This framework has the potential to advance the application of AI in scientific research, enhancing its effectiveness and trustworthiness."
Enhancing multi-agent consensus through third-party llm integration: Analyzing uncertainty and mitigating hallucinations in large language models,"- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses third‑party LLMs as council members, implements multi‑round debate with a neutral moderator, applies confidence‑weighted attention for aggregation, but provides limited quantitative comparison to single‑shot baselines.",https://scispace.com/paper/enhancing-multi-agent-consensus-through-third-party-llm-4v99nw22lsev,2024,Journal Article,"","Zhihua Duan
Jialin Wang",10.48550/arxiv.2411.16189,https://arxiv.org/pdf/2411.16189?,"Large Language Models (LLMs) still face challenges when dealing with complex reasoning tasks, often resulting in hallucinations, which limit the practical application of LLMs. To alleviate this issue, this paper proposes a new method that integrates different LLMs to expand the knowledge boundary, reduce dependence on a single model, and promote in-depth debate among agents. The main contributions include: 1) Introducing third-party LLMs to adjust the attention weights of agents through uncertainty estimation and confidence analysis, optimizing consensus formation in multi-agent systems; 2) Experiments on arithmetic datasets have validated the effectiveness of the method, surpassing traditional multi-agent baselines. This research provides a new perspective for large models to alleviate hallucination phenomena when dealing with complex tasks. "
