Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
"Neural Network Ensembles: Theory, Training, and the Importance of Explicit Diversity","- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides explicit diversity‑accuracy trade‑off theory and bounds, proposes a diversity‑encouraging training algorithm, and characterises when ensembles beat single models; bias‑variance analysis is limited, and it does not cover MoE, uncertainty quantification, or multi‑agent links.",https://scispace.com/paper/neural-network-ensembles-theory-training-and-the-importance-2zmuypq65h8w,"","","","Wenjing Li
Randy C. Paffenroth
David Berthiaume",10.48550/arxiv.2109.14117,"","Ensemble learning is a process by which multiple base learners are strategically generated and combined into one composite learner. There are two features that are essential to an ensemble's performance, the individual accuracies of the component learners and the overall diversity in the ensemble. The right balance of learner accuracy and ensemble diversity can improve the performance of machine learning tasks on benchmark and real-world data sets, and recent theoretical and practical work has demonstrated the subtle trade-off between accuracy and diversity in an ensemble. In this paper, we extend the extant literature by providing a deeper theoretical understanding for assessing and improving the optimality of any given ensemble, including random forests and deep neural network ensembles. We also propose a training algorithm for neural network ensembles and demonstrate that our approach provides improved performance when compared to both state-of-the-art individual learners and ensembles of state-of-the-art learners trained using standard loss functions. Our key insight is that it is better to explicitly encourage diversity in an ensemble, rather than merely allowing diversity to occur by happenstance, and that rigorous theoretical bounds on the trade-off between diversity and learner accuracy allow one to know when an optimal arrangement has been achieved."
Efficient Estimation of Generalization Error and Bias-Variance Components of Ensembles,"- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides bias‑variance estimators and variance‑based uncertainty, plus efficient algorithms; lacks explicit diversity‑accuracy theory, MoE treatment, and formal superiority conditions or error bounds.",https://scispace.com/paper/efficient-estimation-of-generalization-error-and-bias-1zkthukzky,2017,Posted Content,arXiv: Learning,"Dhruv Mahajan
Vivek Gupta
S. Sathiya Keerthi
Sellamanickam Sundararajan
Shravan Narayanamurthy
Rahul Kidambi","",https://arxiv.org/pdf/1711.05482.pdf,"For many applications, an ensemble of base classifiers is an effective solution. The tuning of its parameters(number of classes, amount of data on which each classifier is to be trained on, etc.) requires G, the generalization error of a given ensemble. The efficient estimation of G is the focus of this paper. The key idea is to approximate the variance of the class scores/probabilities of the base classifiers over the randomness imposed by the training subset by normal/beta distribution at each point x in the input feature space. We estimate the parameters of the distribution using a small set of randomly chosen base classifiers and use those parameters to give efficient estimation schemes for G. We give empirical evidence for the quality of the various estimators. We also demonstrate their usefulness in making design choices such as the number of classifiers in the ensemble and the size of a subset of data used for training that is needed to achieve a certain value of generalization error. Our approach also has great potential for designing distributed ensemble classifiers."
Balancing Selection and Diversity in Ensemble Learning with Exponential Mixture Model,"- **Relevance Score:** 48/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses exponential mixture model to balance weight concentration and diversity, proving equal balance boosts accuracy and outlines conditions for ensemble superiority; related but lacks bias‑variance, MoE details; no uncertainty analysis.",https://scispace.com/paper/balancing-selection-and-diversity-in-ensemble-learning-with-3wd3am41vs,2023,Book Chapter,Lecture Notes in Computer Science,"Kenichi Sugiyama
Masato Uchida",10.1007/978-3-031-44213-1_26,"","In practical machine learning scenarios, there may be multiple predictors available for the same task. Ensemble learning combines these predictors to obtain a predictor with higher generalization performance. Weighted averaging is one of the most basic methods, which can be generalized by a formulation of an exponential mixture model. In this formulation, the weight optimization in ensemble learning is represented as selecting the predictors to be used by concentrating the weights and maintaining the diversity of the predictors to be used by distributing the weights. It has been theoretically shown that if the balance between these two factors is adjusted to be equal, the generalization performance improves. However, having an equal balance may not always be optimal, as there could be better alternatives. In this paper, we propose a method to obtain a predictor with higher generalization performance by adjusting the balance between selecting predictors and maintaining their diversity. Numerical experiments showed that when there is a large amount of training data and an unbiased label distribution, adjusting the balance can result in improved generalization performance. "
Research status and prospect of ensemble learning,"- **Relevance Score:** 47/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Survey discusses ensemble concepts, mentions bias‑variance, diversity, MoE, uncertainty, and superiority conditions, but lacks formal proofs or detailed theoretical treatment.",https://scispace.com/paper/UjKttfnXPc0J,"","","","C Luo
S Wang
J Yin
S Zhu
B Lin","",http://www.journalcc.net/en/article/pdf/preview/3430192b-3c06-4798-86cd-7a9aafcf4642.pdf,""
"Inspect, Understand, Overcome: A Survey of Practical Methods for AI Safety","- **Relevance Score:** 47/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Survey discusses ensemble types, MoE, and uncertainty uses, but lacks formal bias‑variance analysis, proven diversity‑accuracy trade‑offs, rigorous MoE theory, uncertainty bounds, or formal superiority conditions.",https://scispace.com/paper/inspect-understand-overcome-a-survey-of-practical-methods-2a0trlma,2022,Book Chapter,"","",10.1007/978-3-031-01233-4_1,https://scispace.com/pdf/inspect-understand-overcome-a-survey-of-practical-methods-2a0trlma.pdf,"Abstract Deployment of modern data-driven machine learning methods, most often realized by deep neural networks (DNNs), in safety-critical applications such as health care, industrial plant control, or autonomous driving is highly challenging due to numerous model-inherent shortcomings. These shortcomings are diverse and range from a lack of generalization over insufficient interpretability and implausible predictions to directed attacks by means of malicious inputs. Cyber-physical systems employing DNNs are therefore likely to suffer from so-called safety concerns, properties that preclude their deployment as no argument or experimental setup can help to assess the remaining risk. In recent years, an abundance of state-of-the-art techniques aiming to address these safety concerns has emerged. This chapter provides a structured and broad overview of them. We first identify categories of insufficiencies to then describe research activities aiming at their detection, quantification, or mitigation. Our work addresses machine learning experts and safety engineers alike: The former ones might profit from the broad range of machine learning topics covered and discussions on limitations of recent methods. The latter ones might gain insights into the specifics of modern machine learning methods. We hope that this contribution fuels discussions on desiderata for machine learning systems and strategies on how to help to advance existing approaches accordingly. "
A Unified Theory of Diversity in Ensemble Learning,"- **Relevance Score:** 47/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides exact bias‑variance‑diversity decompositions, derives a trade‑off linking diversity to performance, but lacks MoE treatment, uncertainty analysis, and explicit superiority guarantees.",https://scispace.com/paper/http://arxiv.org/abs/2301.03962v3,2023,Preprint,"","Danny Wood
Tingting Mu
Andrew Webb
Henry Reeve
Mikel Luján
Gavin Brown","",http://arxiv.org/pdf/2301.03962v3,"We present a theory of ensemble diversity, explaining the nature of diversity
for a wide range of supervised learning scenarios. This challenge has been
referred to as the holy grail of ensemble learning, an open research issue for
over 30 years. Our framework reveals that diversity is in fact a hidden
dimension in the bias-variance decomposition of the ensemble loss. We prove a
family of exact bias-variance-diversity decompositions, for a wide range of
losses in both regression and classification, e.g., squared, cross-entropy, and
Poisson losses. For losses where an additive bias-variance decomposition is not
available (e.g., 0/1 loss) we present an alternative approach: quantifying the
effects of diversity, which turn out to be dependent on the label distribution.
Overall, we argue that diversity is a measure of model fit, in precisely the
same sense as bias and variance, but accounting for statistical dependencies
between ensemble members. Thus, we should not be maximising diversity as so
many works aim to do -- instead, we have a bias/variance/diversity trade-off to
manage."
A Unified Theory of Diversity in Ensemble Learning,"- **Relevance Score:** 44/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a formal diversity‑error framework and bias‑variance decomposition for regression ensembles, but limited to squared‑loss mean combiner; lacks MoE, uncertainty, and broader algorithmic treatment.",https://scispace.com/paper/a-unified-theory-of-diversity-in-ensemble-learning-2j85kjly,2023,Posted Content,"","",10.48550/arxiv.2301.03962,https://scispace.com/pdf/a-unified-theory-of-diversity-in-ensemble-learning-2j85kjly.pdf,"We present a theory of ensemble diversity, explaining the nature and effect of diversity for a wide range of supervised learning scenarios. This challenge, of understanding ensemble diversity, has been referred to as the holy grail of ensemble learning, an open question for over 30 years. Our framework reveals that diversity is in fact a hidden dimension in the bias-variance decomposition of an ensemble. In particular, we prove a family of exact bias-variance-diversity decompositions, for both classification and regression losses, e.g., squared, and cross-entropy. The framework provides a methodology to automatically identify the combiner rule enabling such a decomposition, specific to the loss. The formulation of diversity is therefore dependent on just two design choices: the loss, and the combiner. For certain choices (e.g., 0-1 loss with majority voting) the effect of diversity is necessarily dependent on the target label. Experiments illustrate how we can use our framework to understand the diversity-encouraging mechanisms of popular ensemble methods: Bagging, Boosting, and Random Forests. "
"Fluctuations, Bias, Variance & Ensemble of Learners: Exact Asymptotics
  for Convex Losses in High-Dimension","- **Relevance Score:** 43/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides rigorous bias‑variance analysis for ensembles, derives variance‑based uncertainty, touches on feature correlation (diversity) and conditions like interpolation threshold, but lacks MoE treatment.",https://scispace.com/paper/fluctuations-bias-variance-ensemble-of-learners-exact-1fste2ub,2022,Posted Content,"","",10.48550/arxiv.2201.13383,https://scispace.com/pdf/fluctuations-bias-variance-ensemble-of-learners-exact-1fste2ub.pdf,"From the sampling of data to the initialisation of parameters, randomness is ubiquitous in modern Machine Learning practice. Understanding the statistical fluctuations engendered by the different sources of randomness in prediction is therefore key to understanding robust generalisation. In this manuscript we develop a quantitative and rigorous theory for the study of fluctuations in an ensemble of generalised linear models trained on different, but correlated, features in high-dimensions. In particular, we provide a complete description of the asymptotic joint distribution of the empirical risk minimiser for generic convex loss and regularisation in the high-dimensional limit. Our result encompasses a rich set of classification and regression tasks, such as the lazy regime of overparametrised neural networks, or equivalently the random features approximation of kernels. While allowing to study directly the mitigating effect of ensembling (or bagging) on the bias-variance decomposition of the test error, our analysis also helps disentangle the contribution of statistical fluctuations, and the singular role played by the interpolation threshold that are at the roots of the ""double-descent"" phenomenon. "
A Bias-Variance Decomposition for Ensembles over Multiple Synthetic Datasets,"- **Relevance Score:** 43/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a formal bias‑variance decomposition for ensembles of synthetic datasets; predicts when ensembles beat single models and gives a rule of thumb; mentions uncertainty benefits but without deep theory; does not address diversity‑accuracy trade‑offs or MoE frameworks.",https://scispace.com/paper/a-bias-variance-decomposition-for-ensembles-over-multiple-fp94diekqb,2024,Journal Article,arXiv.org,"Ossi Räisä
Antti Honkela",10.48550/arxiv.2402.03985,https://scispace.compdf/a-bias-variance-decomposition-for-ensembles-over-multiple-fp94diekqb.pdf,"Recent studies have highlighted the benefits of generating multiple synthetic datasets for supervised learning, from increased accuracy to more effective model selection and uncertainty estimation. These benefits have clear empirical support, but the theoretical understanding of them is currently very light. We seek to increase the theoretical understanding by deriving bias-variance decompositions for several settings of using multiple synthetic datasets. Our theory predicts multiple synthetic datasets to be especially beneficial for high-variance downstream predictors, and yields a simple rule of thumb to select the appropriate number of synthetic datasets in the case of mean-squared error and Brier score. We investigate how our theory works in practice by evaluating the performance of an ensemble over many synthetic datasets for several real datasets and downstream predictors. The results follow our theory, showing that our insights are also practically relevant."
Understanding the bias-variance tradeoff of Bregman divergences,"- **Relevance Score:** 43/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Shows ensembling reduces variance without bias change, directly tackling bias‑variance tradeoff. Variance reduction hints at diversity benefits, offers variance‑based uncertainty insight, and outlines conditions for ensemble advantage.",https://scispace.com/paper/http://arxiv.org/abs/2202.04167v2,2022,Preprint,"","Ben Adlam
Neha Gupta
Zelda Mariet
Jamie Smith","",http://arxiv.org/pdf/2202.04167v2,"This paper builds upon the work of Pfau (2013), which generalized the bias
variance tradeoff to any Bregman divergence loss function. Pfau (2013) showed
that for Bregman divergences, the bias and variances are defined with respect
to a central label, defined as the mean of the label variable, and a central
prediction, of a more complex form. We show that, similarly to the label, the
central prediction can be interpreted as the mean of a random variable, where
the mean operates in a dual space defined by the loss function itself. Viewing
the bias-variance tradeoff through operations taken in dual space, we
subsequently derive several results of interest. In particular, (a) the
variance terms satisfy a generalized law of total variance; (b) if a source of
randomness cannot be controlled, its contribution to the bias and variance has
a closed form; (c) there exist natural ensembling operations in the label and
prediction spaces which reduce the variance and do not affect the bias."
