Paper Title,Abstract,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Relevance
ChatUniTest: A Framework for LLM-Based Test Generation,"Unit testing is an essential yet frequently arduous task. Various automated unit test generation tools have been introduced to mitigate this challenge. Notably, methods based on large language models (LLMs) have garnered considerable attention and exhibited promising results in recent years. Nevertheless, LLM-based tools encounter limitations in generating accurate unit tests. This paper presents ChatUniTest, an LLM-based automated unit test generation framework. ChatUniTest incorporates an adaptive focal context mechanism to encompass valuable context in prompts and adheres to a generation-validation-repair mechanism to rectify errors in generated unit tests. Subsequently, we have developed ChatUniTest Core, a common library that implements core workflow, complemented by the ChatUniTest Toolchain, a suite of seamlessly integrated tools enhancing the capabilities of ChatUniTest. Our effectiveness evaluation reveals that ChatUniTest outperforms TestSpark and EvoSuite in half of the evaluated projects, achieving the highest overall line coverage. Furthermore, insights from our user study affirm that ChatUniTest delivers substantial value to various stakeholders in the software testing domain. ChatUniTest is available at https://github.com/ZJU-ACES-ISE/ChatUniTest, and the demo video is available at https://www.youtube.com/watch?v=GmfxQUqm2ZQ.",https://scispace.com/paper/chatunitest-a-framework-for-llm-based-test-generation-37jbgz8feq,2024,Journal Article,"","Y. S. Chen
Zhenguo Hu
Chongyang Zhi
Junxiao Han
Shuiguang Deng
J. Q. Yin",10.1145/3663529.3663801,"","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides an LLM-driven test generation framework with adaptive prompting, thorough evaluation, open-source code, and real-world case studies, but lacks multi-model analysis."
An empirical evaluation of using large language models for automated unit test generation,"Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task, motivating the need for automation. Large Language Models (LLMs) have recently been applied to various aspects of software development, including their suggested use for automated generation of unit tests, but while requiring additional training or few-shot learning on examples of existing tests. This paper presents a large-scale empirical evaluation on the effectiveness of LLMs for automated unit test generation without requiring additional training or manual effort. Concretely, we consider an approach where the LLM is provided with prompts that include the signature and implementation of a function under test, along with usage examples extracted from documentation. Furthermore, if a generated test fails, our approach attempts to generate a new test that fixes the problem by re-prompting the model with the failing test and error message. We implement our approach in T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> , an adaptive LLM-based test generation tool for JavaScript that automatically generates unit tests for the methods in a given project’s API. We evaluate T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> using OpenAI’s <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">gpt3.5-turbo</i> LLM on 25 npm packages with a total of 1,684 API functions. The generated tests achieve a median statement coverage of 70.2% and branch coverage of 52.8%. In contrast, the state-of-the feedback-directed JavaScript test generation technique, Nessie, achieves only 51.3% statement coverage and 25.6% branch coverage. Furthermore, experiments with excluding parts of the information included in the prompts show that all components contribute towards the generation of effective test suites. We also find that 92.8% of T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> ’s generated tests have ≤ 50% similarity with existing tests (as measured by normalized edit distance), with none of them being exact copies. Finally, we run T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> with two additional LLMs, OpenAI’s older <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">code-cushman-002</i> LLM and <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">StarCoder</i> , an LLM for which the training process is publicly documented. Overall, we observed similar results with the former (68.2% median statement coverage), and somewhat worse results with the latter (54.0% median statement coverage), suggesting that the effectiveness of the approach is influenced by the size and training set of the LLM, but does not fundamentally depend on the specific model. ",https://scispace.com/paper/an-empirical-evaluation-of-using-large-language-models-for-4u07o39c3f,2024,Journal Article,IEEE Transactions on Software Engineering,"Max Schäfer
Sarah Nadi
Aryaz Eghbali
Frank Tip",10.1109/tse.2023.3334955,https://arxiv.org/pdf/2302.06527,"- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑3.5 (and others) to generate JavaScript unit tests via detailed prompts; evaluates coverage vs baselines; compares multiple LLMs, showing single‑model focus with cross‑model analysis."
"An Empirical Evaluation of Using Large Language Models for Automated
  Unit Test Generation","Unit tests play a key role in ensuring the correctness of software. However,
manually creating unit tests is a laborious task, motivating the need for
automation. Large Language Models (LLMs) have recently been applied to this
problem, utilizing additional training or few-shot learning on examples of
existing tests. This paper presents a large-scale empirical evaluation on the
effectiveness of LLMs for automated unit test generation without additional
training or manual effort, providing the LLM with the signature and
implementation of the function under test, along with usage examples extracted
from documentation. We also attempt to repair failed generated tests by
re-prompting the model with the failing test and error message. We implement
our approach in TestPilot, a test generation tool for JavaScript that
automatically generates unit tests for all API functions in an npm package. We
evaluate TestPilot using OpenAI's gpt3.5-turbo LLM on 25 npm packages with a
total of 1,684 API functions. The generated tests achieve a median statement
coverage of 70.2% and branch coverage of 52.8%, significantly improving on
Nessie, a recent feedback-directed JavaScript test generation technique, which
achieves only 51.3% statement coverage and 25.6% branch coverage. We also find
that 92.8% of TestPilot's generated tests have no more than 50% similarity with
existing tests (as measured by normalized edit distance), with none of them
being exact copies. Finally, we run TestPilot with two additional LLMs,
OpenAI's older code-cushman-002 LLM and the open LLM StarCoder. Overall, we
observed similar results with the former (68.2% median statement coverage), and
somewhat worse results with the latter (54.0% median statement coverage),
suggesting that the effectiveness of the approach is influenced by the size and
training set of the LLM, but does not fundamentally depend on the specific
model.",https://scispace.com/paper/http://arxiv.org/abs/2302.06527v4,2023,Preprint,"","Max Schäfer
Sarah Nadi
Aryaz Eghbali
Frank Tip","",http://arxiv.org/pdf/2302.06527v4,"- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑3.5 to generate JavaScript unit tests, employs few‑shot and re‑prompting, reports coverage metrics versus baselines, compares three LLMs but no ensemble."
An initial investigation of ChatGPT unit test generation capability,"Context: Software testing ensures software quality, but developers often disregard it. The use of automated testing generation is pursued to reduce the consequences of overlooked test cases in a software project. Problem: In the context of Java programs, several tools can completely automate generating unit test sets. Additionally, studies are conducted to offer evidence regarding the quality of the generated test sets. However, it is worth noting that these tools rely on machine learning and other AI algorithms rather than incorporating the latest advancements in Large Language Models (LLMs). Solution: This work aims to evaluate the quality of Java unit tests generated by an OpenAI LLM algorithm, using metrics like code coverage and mutation test score. Method: For this study, 33 programs used by other researchers in the field of automated test generation were selected. This approach was employed to establish a baseline for comparison purposes. For each program, 33 unit test sets were generated automatically, without human interference, by changing Open AI API parameters. After executing each test set, metrics such as code line coverage, mutation score, and success rate of test execution were collected to evaluate the efficiency and effectiveness of each set. Summary of Results: Our findings revealed that the OpenAI LLM test set demonstrated similar performance across all evaluated aspects compared to traditional automated Java test generation tools used in the previous research. These results are particularly remarkable considering the simplicity of the experiment and the fact that the generated test code did not undergo human analysis.",https://scispace.com/paper/an-initial-investigation-of-chatgpt-unit-test-generation-skg0tmwx1w,2023,Book,"","Vitor Guilherme
A. M. R. Vincenzi",10.1145/3624032.3624035,"","- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to generate Java unit tests and evaluates them with coverage and mutation scores, but provides limited prompting detail and no multi‑model analysis; lacks open‑source code and real‑world case studies."
CoverUp: Effective High Coverage Test Generation for Python,"Testing is an essential part of software development. Test generation tools
attempt to automate the otherwise labor-intensive task of test creation, but
generating high-coverage tests remains challenging. This paper proposes
CoverUp, a novel approach to driving the generation of high-coverage Python
regression tests. CoverUp combines coverage analysis, code context, and
feedback in prompts that iteratively guide the LLM to generate tests that
improve line and branch coverage. We evaluate our prototype CoverUp
implementation across a benchmark of challenging code derived from open-source
Python projects and show that CoverUp substantially improves on the state of
the art. Compared to CodaMosa, a hybrid search/LLM-based test generator,
CoverUp achieves a per-module median line+branch coverage of 80% (vs. 47%).
Compared to MuTAP, a mutation- and LLM-based test generator, CoverUp achieves
an overall line+branch coverage of 89% (vs. 77%). We also demonstrate that
CoverUp's performance stems not only from the LLM used but from the combined
effectiveness of its components.",https://scispace.com/paper/http://arxiv.org/abs/2403.16218v4,2024,Preprint,"","Juan Altmayer Pizzorno
Emery D. Berger",10.1145/3729398,http://arxiv.org/pdf/2403.16218v4,"- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM‑driven iterative prompting to generate high‑coverage Python tests; achieves 80‑89% line/branch coverage; benchmarks against CodaMosa and MuTAP; evaluates on open‑source projects."
Aster: Natural and multi-language unit test generation with llms,"",https://scispace.com/paper/aster-natural-and-multi-language-unit-test-generation-with-205q10u64g81,2025,Journal Article,"","Rangeet Pan
Myeong‐Soo Kim
Rahul Krishna
Raju Pavuluri
Saurabh Sinha",10.1109/icse-seip66354.2025.00042,https://arxiv.org/pdf/2409.03093,"- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs to generate multi‑language unit tests, designs prompting techniques, reports coverage and fault‑detection metrics, primarily a single‑model approach, mentions related tools but lacks open source, real‑world case studies, and dedicated limitation discussion."
Adaptive Test Generation Using a Large Language Model,"Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task, motivating the need for automation. This paper presents TestPilot, an adaptive test generation technique that leverages Large Language Models (LLMs). TestPilot uses Codex, an off-the-shelf LLM, to automatically generate unit tests for a given program without requiring additional training or few-shot learning on examples of existing tests. In our approach, Codex is provided with prompts that include the signature and implementation of a function under test, along with usage examples extracted from documentation. If a generated test fails, TestPilot's adaptive component attempts to generate a new test that fixes the problem by re-prompting the model with the failing test and error message. We created an implementation of TestPilot for JavaScript and evaluated it on 25 npm packages with a total of 1,684 API functions to generate tests for. Our results show that the generated tests achieve up to 93.1% statement coverage (median 68.2%). Moreover, on average, 58.5% of the generated tests contain at least one assertion that exercises functionality from the package under test. Our experiments with excluding parts of the information included in the prompts show that all components contribute towards the generation of effective test suites. Finally, we find that TestPilot does not generate memorized tests: 92.7% of our generated tests have $\leq$ 50% similarity with existing tests (as measured by normalized edit distance), with none of them being exact copies.",https://scispace.com/paper/adaptive-test-generation-using-a-large-language-model-2jbyb3rj,2023,Journal Article,arXiv.org,"Max Schäfer
Sarah Nadi
Aryaz Eghbali
Frank Tip",10.48550/arXiv.2302.06527,https://scispace.compdf/adaptive-test-generation-using-a-large-language-model-2jbyb3rj.pdf,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Codex to generate tests with detailed prompts and adaptive re‑prompting; reports coverage and assertion metrics; focuses on a single LLM without multi‑model comparison."
ChatUniTest: a ChatGPT-based automated unit test generation tool,"Unit testing is a crucial, yet often tedious and time-consuming task. To relieve developers from this burden, automated unit test generation techniques are developed. Existing automated unit test generation tools, such as program-analysis-based tools like EvoSuite and Randoop, lack program comprehension, resulting in unit tests with poor readability and limited assertions. Language-model-based tools, such as AthenaTest and A3Test, have limitations in the generation of correct unit tests. In this paper, we introduce ChatUniTest, a ChatGPT-based automated unit test generation tool developed under the Generation-Validation-Repair framework. ChatUniTest generates tests by parsing the project, extracting essential information, and creating an adaptive focal context that includes the focal method and its dependencies within the pre-defined maximum prompt token limit. The context is incorporated into a prompt and subsequently submitted to ChatGPT. Once ChatGPT's response is received, ChatUniTest proceeds to extract the raw test from the response. It then validates the test and employs rule-based repair to fix syntactic and simple compile errors, followed by ChatGPT-based repair to address challenging errors. Our rigorous evaluation demonstrates that ChatUniTest outperforms EvoSuite in branch and line coverage, surpasses AthenaTest and A3Test in focal method coverage, and effectively generates assertions while utilizing mock objects and reflection to achieve test objectives. ",https://scispace.com/paper/chatunitest-a-chatgpt-based-automated-unit-test-generation-3924b2lw,2023,Posted Content,"","",10.48550/arxiv.2305.04764,https://scispace.com/pdf/chatunitest-a-chatgpt-based-automated-unit-test-generation-3924b2lw.pdf,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to generate unit tests, designs prompting techniques, reports coverage and fault‑detection results, but focuses on a single model without extensive multi‑model comparison."
"TestART: Improving LLM-based Unit Test via Co-evolution of Automated
  Generation and Repair Iteration","Unit test is crucial for detecting bugs in individual program units but consumes time and effort. The existing automated unit test generation methods are mainly based on search-based software testing (SBST) and language models to liberate developers. Recently, large language models (LLMs) have demonstrated remarkable reasoning and generation capabilities. However, several problems limit their ability to generate high-quality test cases: (1) LLMs may generate invalid test cases under insufficient context, resulting in compilation errors; (2) Lack of test and coverage feedback information may cause runtime errors and low coverage rates. (3) The repetitive suppression problem causes LLMs to get stuck into the repetition loop of self-repair or re-generation attempts. In this paper, we propose TestART, a novel unit test generation method that leverages the strengths of LLMs while overcoming the limitations mentioned. TestART improves LLM-based unit test via co-evolution of automated generation and repair iteration. TestART leverages the template-based repair technique to fix bugs in LLM-generated test cases, using prompt injection to guide the next-step automated generation and avoid repetition suppression. Furthermore, TestART extracts coverage information from the passed test cases and utilizes it as testing feedback to enhance the sufficiency of the final test case. This synergy between generation and repair elevates the quality, effectiveness, and readability of the produced test cases significantly beyond previous methods. In comparative experiments, the pass rate of TestART-generated test cases is 78.55%, which is approximately 18% higher than both the ChatGPT-4.0 model and the same ChatGPT-3.5-based method ChatUniTest. It also achieves an impressive line coverage rate of 90.96% on the focal methods that passed the test, exceeding EvoSuite by 3.4%. ",https://scispace.com/paper/testart-improving-llm-based-unit-test-via-co-evolution-of-422wn47hwwoe,2024,Journal Article,"","Siqi Gu
Chunrong Fang
Quanjun Zhang
Fangyuan Tian
Jianyi Zhou
Zhenyu Chen",10.48550/arxiv.2408.03095,https://scispace.compdf/testart-improving-llm-based-unit-test-via-co-evolution-of-422wn47hwwoe.pdf,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs with prompt injection and repair loops; reports coverage and pass rates versus baselines; mentions multiple LLM versions but no ensemble design."
Unit test generation using generative AI: A comparative performance analysis of autogeneration tools,"Generating unit tests is a crucial task in software development, demanding substantial time and effort from programmers. The advent of Large Language Models (LLMs) introduces a novel avenue for unit test script generation. This research aims to experimentally investigate the effectiveness of LLMs, specifically exemplified by ChatGPT, for generating unit test scripts for Python programs, and how the generated test cases compare with those generated by an existing unit test generator (Pynguin). For experiments, we consider three types of code units: 1) Procedural scripts, 2) Function-based modular code, and 3) Class-based code. The generated test cases are evaluated based on criteria such as coverage, correctness, and readability. Our results show that ChatGPT's performance is comparable with Pynguin in terms of coverage. At the same time, ChatGPT's ability to generate tests is superior to Pynguin, as the latter is not able to generate test cases for Category 1. We also find that about 39% and 28% of assertions generated by ChatGPT for Category 2 and 3, respectively, were incorrect. Our results also show that there is minimal overlap in missed statements between ChatGPT and Pynguin, thus, suggesting that a combination of both tools may enhance unit test generation performance. Finally, prompt engineering improved ChatGPT's performance, achieving an average 28% coverage improvement in Category 2 and 15% improvement in Category 3 after about 4 iterations.",https://scispace.com/paper/unit-test-generation-using-generative-ai-a-comparative-3l42su5m15,2023,Journal Article,arXiv.org,"Shreya Bhatia
Tarushi Gandhi
Dhruv Kumar
Pankaj Jalote",10.48550/arxiv.2312.10622,https://dl.acm.org/doi/pdf/10.1145/3643795.3648396,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to generate Python unit tests, evaluates prompt engineering for coverage gains, reports quantitative coverage and correctness, and suggests combining with Pynguin, though multi‑LLM methods aren’t explored."
