"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Using AI for User Representation: An Analysis of 83 Persona Prompts","https://scispace.com/paper/http://arxiv.org/abs/2508.13047v1","2025","Preprint","","Joni Salminen
Danial Amin
Bernard Jansen","","http://arxiv.org/pdf/2508.13047v1","We analyzed 83 persona prompts from 27 research articles that used large
language models (LLMs) to generate user personas. Findings show that the
prompts predominantly generate single personas. Several prompts express a
desire for short or concise persona descriptions, which deviates from the
tradition of creating rich, informative, and rounded persona profiles. Text is
the most common format for generated persona attributes, followed by numbers.
Text and numbers are often generated together, and demographic attributes are
included in nearly all generated personas. Researchers use up to 12 prompts in
a single study, though most research uses a small number of prompts. Comparison
and testing multiple LLMs is rare. More than half of the prompts require the
persona output in a structured format, such as JSON, and 74% of the prompts
insert data or dynamic variables. We discuss the implications of increased use
of computational personas for user representation."
"Code-Aware Prompting: A study of Coverage Guided Test Generation in
  Regression Setting using LLM","https://scispace.com/paper/http://arxiv.org/abs/2402.00097v2","2024","Preprint","","Gabriel Ryan
Siddhartha Jain
Mingyue Shang
Shiqi Wang
Xiaofei Ma
Murali Krishna Ramanathan
Baishakhi Ray","","http://arxiv.org/pdf/2402.00097v2","Testing plays a pivotal role in ensuring software quality, yet conventional
Search Based Software Testing (SBST) methods often struggle with complex
software units, achieving suboptimal test coverage. Recent works using large
language models (LLMs) for test generation have focused on improving generation
quality through optimizing the test generation context and correcting errors in
model outputs, but use fixed prompting strategies that prompt the model to
generate tests without additional guidance. As a result LLM-generated
testsuites still suffer from low coverage. In this paper, we present SymPrompt,
a code-aware prompting strategy for LLMs in test generation. SymPrompt's
approach is based on recent work that demonstrates LLMs can solve more complex
logical problems when prompted to reason about the problem in a multi-step
fashion. We apply this methodology to test generation by deconstructing the
testsuite generation process into a multi-stage sequence, each of which is
driven by a specific prompt aligned with the execution paths of the method
under test, and exposing relevant type and dependency focal context to the
model. Our approach enables pretrained LLMs to generate more complete test
cases without any additional training. We implement SymPrompt using the
TreeSitter parsing framework and evaluate on a benchmark challenging methods
from open source Python projects. SymPrompt enhances correct test generations
by a factor of 5 and bolsters relative coverage by 26% for CodeGen2. Notably,
when applied to GPT-4, SymPrompt improves coverage by over 2x compared to
baseline prompting strategies."
"PersonaBOT: Bringing Customer Personas to Life with LLMs and RAG","https://scispace.com/paper/http://arxiv.org/abs/2505.17156v1","2025","Preprint","","Muhammed Rizwan
Lars Carlsson
Mohammad Loni","","http://arxiv.org/pdf/2505.17156v1","The introduction of Large Language Models (LLMs) has significantly
transformed Natural Language Processing (NLP) applications by enabling more
advanced analysis of customer personas. At Volvo Construction Equipment (VCE),
customer personas have traditionally been developed through qualitative
methods, which are time-consuming and lack scalability. The main objective of
this paper is to generate synthetic customer personas and integrate them into a
Retrieval-Augmented Generation (RAG) chatbot to support decision-making in
business processes. To this end, we first focus on developing a persona-based
RAG chatbot integrated with verified personas. Next, synthetic personas are
generated using Few-Shot and Chain-of-Thought (CoT) prompting techniques and
evaluated based on completeness, relevance, and consistency using McNemar's
test. In the final step, the chatbot's knowledge base is augmented with
synthetic personas and additional segment information to assess improvements in
response accuracy and practical utility. Key findings indicate that Few-Shot
prompting outperformed CoT in generating more complete personas, while CoT
demonstrated greater efficiency in terms of response time and token usage.
After augmenting the knowledge base, the average accuracy rating of the chatbot
increased from 5.88 to 6.42 on a 10-point scale, and 81.82% of participants
found the updated system useful in business contexts."
"Are Prompts All You Need? Evaluating Prompt-Based Large Language Models
  (LLM)s for Software Requirements Classification","https://scispace.com/paper/http://arxiv.org/abs/2509.13868v1","2025","Preprint","","Manal Binkhonain
Reem Alfayaz","10.1007/s00766-025-00451-8","http://arxiv.org/pdf/2509.13868v1","Requirements classification assigns natural language requirements to
predefined classes, such as functional and non functional. Accurate
classification reduces risk and improves software quality. Most existing models
rely on supervised learning, which needs large labeled data that are costly,
slow to create, and domain dependent; they also generalize poorly and often
require retraining for each task. This study tests whether prompt based large
language models can reduce data needs. We benchmark several models and
prompting styles (zero shot, few shot, persona, and chain of thought) across
multiple tasks on two English datasets, PROMISE and SecReq. For each task we
compare model prompt configurations and then compare the best LLM setups with a
strong fine tuned transformer baseline. Results show that prompt based LLMs,
especially with few shot prompts, can match or exceed the baseline. Adding a
persona, or persona plus chain of thought, can yield further gains. We conclude
that prompt based LLMs are a practical and scalable option that reduces
dependence on large annotations and can improve generalizability across tasks."
"Automating Prompt Leakage Attacks on Large Language Models Using Agentic
  Approach","https://scispace.com/paper/http://arxiv.org/abs/2502.12630v1","2025","Preprint","","Tvrtko Sternak
Davor Runje
Dorian Granoša
Chi Wang","","http://arxiv.org/pdf/2502.12630v1","This paper presents a novel approach to evaluating the security of large
language models (LLMs) against prompt leakage-the exposure of system-level
prompts or proprietary configurations. We define prompt leakage as a critical
threat to secure LLM deployment and introduce a framework for testing the
robustness of LLMs using agentic teams. Leveraging AG2 (formerly AutoGen), we
implement a multi-agent system where cooperative agents are tasked with probing
and exploiting the target LLM to elicit its prompt.
  Guided by traditional definitions of security in cryptography, we further
define a prompt leakage-safe system as one in which an attacker cannot
distinguish between two agents: one initialized with an original prompt and the
other with a prompt stripped of all sensitive information. In a safe system,
the agents' outputs will be indistinguishable to the attacker, ensuring that
sensitive information remains secure. This cryptographically inspired framework
provides a rigorous standard for evaluating and designing secure LLMs.
  This work establishes a systematic methodology for adversarial testing of
prompt leakage, bridging the gap between automated threat modeling and
practical LLM security.
  You can find the implementation of our prompt leakage probing on GitHub."
"In-Context Impersonation Reveals Large Language Models' Strengths and
  Biases","https://scispace.com/paper/http://arxiv.org/abs/2305.14930v2","2023","Preprint","","Leonard Salewski
Stephan Alaniz
Isabel Rio-Torto
Eric Schulz
Zeynep Akata","","http://arxiv.org/pdf/2305.14930v2","In everyday conversations, humans can take on different roles and adapt their
vocabulary to their chosen roles. We explore whether LLMs can take on, that is
impersonate, different roles when they generate text in-context. We ask LLMs to
assume different personas before solving vision and language tasks. We do this
by prefixing the prompt with a persona that is associated either with a social
identity or domain expertise. In a multi-armed bandit task, we find that LLMs
pretending to be children of different ages recover human-like developmental
stages of exploration. In a language-based reasoning task, we find that LLMs
impersonating domain experts perform better than LLMs impersonating non-domain
experts. Finally, we test whether LLMs' impersonations are complementary to
visual information when describing different categories. We find that
impersonation can improve performance: an LLM prompted to be a bird expert
describes birds better than one prompted to be a car expert. However,
impersonation can also uncover LLMs' biases: an LLM prompted to be a man
describes cars better than one prompted to be a woman. These findings
demonstrate that LLMs are capable of taking on diverse roles and that this
in-context impersonation can be used to uncover their hidden strengths and
biases."
"LLM Agents in Interaction: Measuring Personality Consistency and
  Linguistic Alignment in Interacting Populations of Large Language Models","https://scispace.com/paper/http://arxiv.org/abs/2402.02896v1","2024","Preprint","","Ivar Frisch
Mario Giulianelli","","http://arxiv.org/pdf/2402.02896v1","While both agent interaction and personalisation are vibrant topics in
research on large language models (LLMs), there has been limited focus on the
effect of language interaction on the behaviour of persona-conditioned LLM
agents. Such an endeavour is important to ensure that agents remain consistent
to their assigned traits yet are able to engage in open, naturalistic
dialogues. In our experiments, we condition GPT-3.5 on personality profiles
through prompting and create a two-group population of LLM agents using a
simple variability-inducing sampling algorithm. We then administer personality
tests and submit the agents to a collaborative writing task, finding that
different profiles exhibit different degrees of personality consistency and
linguistic alignment to their conversational partners. Our study seeks to lay
the groundwork for better understanding of dialogue-based interaction between
LLMs and highlights the need for new approaches to crafting robust, more
human-like LLM personas for interactive environments."
"LLM Economist: Large Population Models and Mechanism Design in
  Multi-Agent Generative Simulacra","https://scispace.com/paper/http://arxiv.org/abs/2507.15815v1","2025","Preprint","","Seth Karten
Wenzhe Li
Zihan Ding
Samuel Kleiner
Yu Bai
Chi Jin","","http://arxiv.org/pdf/2507.15815v1","We present the LLM Economist, a novel framework that uses agent-based
modeling to design and assess economic policies in strategic environments with
hierarchical decision-making. At the lower level, bounded rational worker
agents -- instantiated as persona-conditioned prompts sampled from U.S.
Census-calibrated income and demographic statistics -- choose labor supply to
maximize text-based utility functions learned in-context. At the upper level, a
planner agent employs in-context reinforcement learning to propose
piecewise-linear marginal tax schedules anchored to the current U.S. federal
brackets. This construction endows economic simulacra with three capabilities
requisite for credible fiscal experimentation: (i) optimization of
heterogeneous utilities, (ii) principled generation of large, demographically
realistic agent populations, and (iii) mechanism design -- the ultimate nudging
problem -- expressed entirely in natural language. Experiments with populations
of up to one hundred interacting agents show that the planner converges near
Stackelberg equilibria that improve aggregate social welfare relative to Saez
solutions, while a periodic, persona-level voting procedure furthers these
gains under decentralized governance. These results demonstrate that large
language model-based agents can jointly model, simulate, and govern complex
economic systems, providing a tractable test bed for policy evaluation at the
societal scale to help build better civilizations."
"ConsistencyAI: A Benchmark to Assess LLMs' Factual Consistency When
  Responding to Different Demographic Groups","https://scispace.com/paper/http://arxiv.org/abs/2510.13852v2","2025","Preprint","","Peter Banyas
Shristi Sharma
Alistair Simmons
Atharva Vispute","","http://arxiv.org/pdf/2510.13852v2","Is an LLM telling you different facts than it's telling me? This paper
introduces ConsistencyAI, an independent benchmark for measuring the factual
consistency of large language models (LLMs) for different personas.
ConsistencyAI tests whether, when users of different demographics ask identical
questions, the model responds with factually inconsistent answers. Designed
without involvement from LLM providers, this benchmark offers impartial
evaluation and accountability. In our experiment, we queried 19 LLMs with
prompts that requested 5 facts for each of 15 topics. We repeated this query
100 times for each LLM, each time adding prompt context from a different
persona selected from a subset of personas modeling the general population. We
processed the responses into sentence embeddings, computed cross-persona cosine
similarity, and computed the weighted average of cross-persona cosine
similarity to calculate factual consistency scores. In 100-persona experiments,
scores ranged from 0.9065 to 0.7896, and the mean was 0.8656, which we adopt as
a benchmark threshold. xAI's Grok-3 is most consistent, while several
lightweight models rank lowest. Consistency varies by topic: the job market is
least consistent, G7 world leaders most consistent, and issues like vaccines or
the Israeli-Palestinian conflict diverge by provider. These results show that
both the provider and the topic shape the factual consistency. We release our
code and interactive demo to support reproducible evaluation and encourage
persona-invariant prompting strategies."
"When Emotional Stimuli meet Prompt Designing: An Auto-Prompt Graphical
  Paradigm","https://scispace.com/paper/http://arxiv.org/abs/2404.10500v1","2024","Preprint","","Chenggian Ma
Xiangyu Zhao
Chunhui Zhang
Yanzhao Qin
Wentao Zhang","","http://arxiv.org/pdf/2404.10500v1","With the development of Large Language Models (LLM), numerous prompts have
been proposed, each with a rich set of features and their own merits. This
paper summarizes the prompt words for large language models (LLMs),
categorizing them into stimulating and framework types, and proposes an
Auto-Prompt Graphical Paradigm(APGP) that combines both stimulating and
framework prompts to enhance the problem-solving capabilities of LLMs across
multiple domains, then exemplifies it with a framework that adheres to this
paradigm. The framework involves automated prompt generation and consideration
of emotion-stimulus factors, guiding LLMs in problem abstraction, diversified
solutions generation, comprehensive optimization, and self-verification after
providing answers, ensuring solution accuracy. Compared to traditional stimuli
and framework prompts, this framework integrates the advantages of both by
adopting automated approaches inspired by APE work, overcoming the limitations
of manually designed prompts. Test results on the ruozhiba and BBH datasets
demonstrate that this framework can effectively improve the efficiency and
accuracy of LLMs in problem-solving, paving the way for new applications of
LLMs."
